"","ZEB","SNAIL","NRF2","miR34","miR200","KEAP1","Iext","Ecadherin"
"ZEB",0.745826939895433,0.3544950511589,-0.742217724815322,-0.707972948929969,-0.707972948929969,0.668743923986658,0,-0.802707252323644
"SNAIL",0.364674012099568,0.0680773911134387,-0.309522882109557,-0.319920091111855,-0.319920091111855,0.30482462571806,0,-0.347206208725724
"NRF2",-0.347206208725724,-0.155737805723508,0.289405407807061,0.30482462571806,0.30482462571806,-0.283972266509536,0,0.32605859188167
"miR34",-0.347206208725724,-0.155737805723508,0.289405407807061,0.30482462571806,0.30482462571806,-0.283972266509536,0,0.32605859188167
"miR200",-0.77058584339209,-0.289622399208981,0.764622853176153,0.634277816145796,0.634277816145796,-0.691374590339344,0,0.724952869888656
"KEAP1",0.32605859188167,0.151623615967001,-0.361315520166611,-0.283972266509536,-0.283972266509536,0.266302363596915,0,-0.304452924821458
"Iext",-0.347206208725724,-0.155737805723508,0.289405407807061,0.30482462571806,0.30482462571806,-0.283972266509536,0,0.32605859188167
"Ecadherin",-0.71070938536777,-0.31284910158827,0.713580238224805,0.574112807298305,0.574112807298305,-0.537731609616399,0,0.670717219288648
