"","NRF2","SNAIL","Ecadherin","ZEB","miR200","KEAP1","miR34"
"SNAIL",-0.0266925628940363,0.464941600416873,0.12557076189774,-0.124282896851486,-0.211174570144396,0.210160250335327,-0.349368770458405
"KEAP1",-0.126149739220984,0.548696862612859,0.124371876646859,-0.12071190025961,-0.20452859127901,0.203169367978039,-0.341176292172423
"miR200",0.246944459939384,-0.0852745507571815,0.056689891698849,-0.0508999015123917,0.0600152059175159,-0.155660367207838,-0.00393764033816824
"ZEB",-0.145439988058527,-0.0953951346005876,-0.064740882667491,-0.0322956438659342,-0.027220768711959,0.0290348276688751,0.0738322010421437
"Ecadherin",0.236634573409624,-0.221838103754163,0.0215912658769802,-0.0196719552620174,0.156601990824516,-0.154348288313247,0.0263277881579455
"NRF2",0.0239025482097485,-0.560367727432339,-0.12071190025961,0.12557076189774,0.210160250335327,-0.20452859127901,0.342089534181555
"miR34",0.0239025482097485,-0.560367727432339,-0.12071190025961,0.12557076189774,0.210160250335327,-0.20452859127901,0.342089534181555
