"","NRF2","Ecadherin","miR200","SNAIL","ZEB","miR34","KEAP1"
"SNAIL",0.113557946030637,0.103730215081803,0.133080177309335,-0.046123913129815,-0.101063790267727,-0.133080177309335,-0.125741275161364
"KEAP1",0.0123683537258634,0.106679568954551,0.136091351264864,0.0508752986286598,-0.0992415524256256,-0.136091351264864,-0.122693293012437
"miR200",0.237675604147685,0.0572169082970728,0.0244032993157027,-0.0426595872944633,-0.0530952203677303,-0.0244032993157027,-0.110048460606025
"ZEB",-0.153629923256508,-0.0639271893568132,-0.0517409357971986,-0.039813192559799,-0.0351309314793918,0.0517409357971986,0.0605088874222931
"Ecadherin",0.201070134185696,0.0255989248846392,0.0305198969044593,-0.0646521137161287,-0.0262648081592181,-0.0305198969044593,-0.0256905343803125
"NRF2",-0.113117417396275,-0.0992415524256256,-0.125741275161364,-0.0633857940106917,0.103730215081803,0.125741275161364,0.136091351264864
"miR34",-0.113117417396275,-0.0992415524256256,-0.125741275161364,-0.0633857940106917,0.103730215081803,0.125741275161364,0.136091351264864
