"","NRF2","ZEB","miR34","miR200","KEAP1","Ecadherin","SNAIL"
"NRF2",0.099384073164579,-0.0849909299634581,-0.0399131466896653,0.117221397748391,-0.112502980701207,-0.0792065708704456,0.0410571122306264
"ZEB",-0.0965992050493318,-0.082397797574372,-0.0116746155553988,-0.011525791873864,0.00857794606887529,0.0139036037580424,0.0358730582806184
"SNAIL",0.0924824578929197,-0.080583166495292,-0.0289346264032692,0.11370111135221,-0.117221397748391,-0.0849909299634581,-0.0431811240313018
"miR200",0.209202227552481,-0.0289673000342874,0.00724919833747926,0.0300820295692383,-0.131856223117625,-0.031420685706515,0.0407998828556184
"Ecadherin",-0.036789219089214,0.00598834344175959,0.0927612322256363,0.000579357994563792,-0.00103009849681749,0.00524412095840667,-0.0866880353497142
"KEAP1",-0.190395309119635,0.0792065708704456,0.0256056885465908,-0.112502980701207,0.118522398176935,0.0866445873993713,-0.0614601349006516
"miR34",-0.099384073164579,0.0849909299634581,0.0399131466896653,-0.117221397748391,0.112502980701207,0.0792065708704456,-0.0410571122306264
