"","KEAP1","miR34","Ecadherin","SNAIL","ZEB","miR200","NRF2"
"Ecadherin",0.164938076256858,0.167449344769415,0.273650952222381,0.042970809253208,-0.273768461035542,-0.167449344769415,-0.374553006305652
"miR200",0.129371546946977,0.232113482430848,0.214141693340146,-0.053215233087104,-0.214043557913257,-0.232113482430848,-0.152557811618725
"SNAIL",0.0192893526076223,0.0209599969990305,0.160680112485806,-0.0684211893693376,-0.160661973541493,-0.0209599969990305,-0.0842816218565592
"KEAP1",0.0173425807260187,0.0214202506289313,0.159960475385706,0.0332477939482889,-0.160078539140133,-0.0214202506289313,-0.184913541208471
"ZEB",-0.241428769194467,-0.24105084024511,-0.238936243361702,0.0632302182229804,0.139005161349297,0.24105084024511,0.269767185457916
"NRF2",-0.0214202506289313,-0.0192893526076223,-0.160078539140133,-0.0296373825293133,0.160680112485806,0.0192893526076223,0.0826663501972346
"miR34",-0.0214202506289313,-0.0192893526076223,-0.160078539140133,-0.0296373825293133,0.160680112485806,0.0192893526076223,0.0826663501972346
