"","SNAIL","Ecadherin","KEAP1","ZEB","miR34","miR200","NRF2"
"miR200",0.00441692221723375,0.070831190937497,0.128064637894616,-0.0575829083074676,0.0385485088623577,0.0385485088623577,0.044289433071159
"Ecadherin",0.0957763639857009,0.065259423116566,0.0351344507034422,-0.0522159448556964,0.0455014822552773,0.0455014822552773,-0.149580580154242
"miR34",0.0305884595031291,0.038000960339405,-0.0338685445054831,-0.0493383041617095,-0.0428487575952852,-0.0428487575952852,-0.0502385517260717
"SNAIL",-0.0709581018657423,0.0493383041617095,-0.0428487575952852,-0.0409036950559595,-0.0362855117718962,-0.0362855117718962,-0.0362884783046327
"ZEB",-0.079024422867409,-0.059332572618247,-0.0362193728726324,-0.0316391710068391,-0.0291898944145825,-0.0291898944145825,0.0728244446688181
"KEAP1",-0.0284893830967479,-0.0529950571516836,0.0461015542142209,0.038000960339405,0.0338685445054831,0.0338685445054831,0.132261023636184
"NRF2",-0.0305884595031291,-0.038000960339405,0.0338685445054831,0.0493383041617095,0.0428487575952852,0.0428487575952852,0.0502385517260717
