"","Ecadherin","miR34","miR200","KEAP1","SNAIL","ZEB","NRF2"
"miR200",0.552340380443382,0.428216271795738,0.428216271795738,0.513377562118319,-0.0184636697713166,-0.567649507038082,-0.618005336457113
"Ecadherin",0.49689096617668,0.322597428068207,0.322597428068207,0.301283841461639,0.0222328814163757,-0.504999074284789,-0.552072045864053
"SNAIL",0.136062994919411,0.00972131366203601,0.00972131366203601,-0.00209252882006423,-0.0620616271307567,-0.132961235441813,-0.0595020881127583
"KEAP1",0.132176670482836,0.00886637528952481,0.00886637528952481,-0.0119103237396014,0.0422212347081586,-0.126391546515894,-0.152247389965618
"NRF2",-0.126391546515894,0.00209252882006423,0.00209252882006423,-0.00886637528952481,-0.0265201431884273,0.136062994919411,0.0552436446472664
"miR34",-0.126391546515894,0.00209252882006423,0.00209252882006423,-0.00886637528952481,-0.0265201431884273,0.136062994919411,0.0552436446472664
"ZEB",-0.594085337298261,-0.490618740800091,-0.490618740800091,-0.482833404443326,0.103519500718269,0.510464845683283,0.57403425466117
