"Nature","Strength","Type","Node"
"P",0.2,"TS","LIV1,LIV1"
"P",0.14,"TS","LIV1,EGR1"
"P",0.267912087912088,"NF","LIV1,NOTCH"
"P",0.332595006816633,"NF","LIV1,Jagged"
"P",0.00769169456400446,"NF","LIV1,DELTA"
"N",0.3,"NF","LIV1,STAT"
"N",0.218518518518519,"NF","LIV1,Frizzled"
"P",0.523586744639376,"TS","LIV1,AKT"
"P",0.134307992202729,"NF","LIV1,Wnt"
"P",0.107691694564004,"TS","LIV1,PI3K"
"P",0.74179040791944,"TS","LIV1,ILK"
"N",0.411184947323562,"NF","LIV1,TCFLEF"
"P",0.527956989247312,"DA","LIV1,SMO"
"P",0.590919952210275,"DA","LIV1,Patched"
"N",0.469634463937241,"NF","LIV1,cateninmemb"
"P",0.745436906469905,"TS","LIV1,FOXC2"
"N",0.190189142716777,"NF","LIV1,MEK"
"P",0.391290551069557,"NF","LIV1,RKIP"
"P",0.294196919691969,"NF","LIV1,SOSGRB2"
"P",0.122635756056809,"DA","LIV1,Destcompl"
"P",0.00814624001854992,"NF","LIV1,RAS"
"P",0.492105263157895,"TS","LIV1,IKK"
"P",0.512387445887446,"DA","LIV1,TWIST1"
"N",0.341666666666667,"NF","LIV1,Csn"
"P",0.5,"DA","LIV1,NFB"
"N",0.238962725101339,"NF","LIV1,CD44"
"N",0.232032032032032,"NF","LIV1,cMet"
"N",0.264179446664808,"NF","LIV1,AXIN2"
"P",0.00769169456400446,"NF","LIV1,RAF"
"P",0.537919952210275,"NF","LIV1,SHH"
"N",0.395214205421784,"NF","LIV1,cateninnuc"
"N",0.94887431693989,"NF","LIV1,KLF4"
"P",0.872102184202016,"DA","LIV1,HEY1"
"N",0.236855809383444,"NF","LIV1,ERK"
"N",0.465006717327135,"NF","LIV1,Ecadherin"
"P",0.335183177720367,"DA","LIV1,SNAI2"
"P",0.466666666666667,"TS","LIV1,FUS"
"P",0.45,"TS","LIV1,SUFU"
"N",0.318518518518519,"NF","LIV1,SRC"
"N",0.2,"NF","LIV1,DSH"
"N",0.133090909090909,"NF","LIV1,GSK3"
"P",0.495507144735689,"NF","LIV1,TGF"
"P",0.476381461675579,"NF","LIV1,TGFR"
"P",0.708887182112989,"TS","LIV1,SMAD"
"N",0.991955000976901,"NF","LIV1,ZEB1"
"P",0.341538461538462,"DA","LIV1,NOTCHic"
"P",0.205217391304348,"DA","LIV1,cfos"
"N",0.562745098039216,"NF","LIV1,CDC42"
"N",0.908621667643568,"NF","LIV1,ZEB2"
"P",0.335384615384615,"DA","LIV1,Csl"
"N",0.242600675129558,"NF","LIV1,GLI"
"P",0.3,"DA","LIV1,TrCP"
"N",0.533333333333333,"NF","LIV1,PAK1"
"N",0.968077180110623,"NF","LIV1,miR200"
"N",0.599705116087703,"NF","LIV1,SNAI1"
"P",0.08,"TS","EGR1,EGR1"
"P",0.267912087912088,"NF","EGR1,NOTCH"
"P",0.432595006816633,"TS","EGR1,Jagged"
"N",0.107691694564004,"NF","EGR1,DELTA"
"P",0.1,"NF","EGR1,STAT"
"P",0.118518518518519,"NF","EGR1,Frizzled"
"N",0.43787245892509,"NF","EGR1,AKT"
"N",0.234307992202729,"NF","EGR1,Wnt"
"P",0.00769169456400446,"NF","EGR1,PI3K"
"P",0.64179040791944,"NF","EGR1,ILK"
"P",0.197375423514038,"DA","EGR1,TCFLEF"
"N",0.527956989247312,"NF","EGR1,SMO"
"N",0.590919952210275,"NF","EGR1,Patched"
"P",0.200543554846332,"DA","EGR1,cateninmemb"
"N",0.552103573136572,"NF","EGR1,FOXC2"
"N",0.150189142716777,"NF","EGR1,MEK"
"N",0.551290551069557,"NF","EGR1,RKIP"
"P",0.36562549112054,"TS","EGR1,SOSGRB2"
"N",0.119046012467065,"NF","EGR1,Destcompl"
"P",0.00814624001854992,"NF","EGR1,RAS"
"P",0.392105263157895,"NF","EGR1,IKK"
"N",0.265720779220779,"NF","EGR1,TWIST1"
"P",0.298333333333333,"DA","EGR1,Csn"
"N",0.364285714285714,"NF","EGR1,NFB"
"P",0.338962725101339,"DA","EGR1,CD44"
"P",0.232032032032032,"DA","EGR1,cMet"
"P",0.250846113331475,"DA","EGR1,AXIN2"
"N",0.167691694564004,"NF","EGR1,RAF"
"P",0.537919952210275,"NF","EGR1,SHH"
"P",0.213527775909268,"TS","EGR1,cateninnuc"
"P",0.755540983606557,"TS","EGR1,KLF4"
"N",0.678768850868683,"NF","EGR1,HEY1"
"N",0.111798338119077,"NF","EGR1,ERK"
"P",0.195915808236226,"TS","EGR1,Ecadherin"
"N",0.141849844387034,"NF","EGR1,SNAI2"
"P",0.366666666666667,"NF","EGR1,FUS"
"N",0.323076923076923,"NF","EGR1,SUFU"
"P",0.118518518518519,"NF","EGR1,SRC"
"P",0.12,"TS","EGR1,DSH"
"N",0.0542673796791444,"NF","EGR1,GSK3"
"P",0.495507144735689,"NF","EGR1,TGF"
"P",0.54781003310415,"TS","EGR1,TGFR"
"P",0.688887182112989,"NF","EGR1,SMAD"
"N",0.858621667643568,"NF","EGR1,ZEB1"
"N",0.261538461538462,"NF","EGR1,NOTCHic"
"N",0.225217391304348,"NF","EGR1,cfos"
"P",0.482745098039216,"TS","EGR1,CDC42"
"N",0.841955000976901,"NF","EGR1,ZEB2"
"P",0.228717948717948,"DA","EGR1,Csl"
"P",0.148314960843844,"TS","EGR1,GLI"
"P",0.24,"DA","EGR1,TrCP"
"N",0.473333333333333,"NF","EGR1,PAK1"
"N",0.882362894396337,"NF","EGR1,miR200"
"N",0.604922507392051,"NF","EGR1,SNAI1"
"P",0.345069124423964,"TS","NOTCH,NOTCH"
"P",0.28016354016354,"TS","NOTCH,Jagged"
"P",0.0743722943722944,"TS","NOTCH,DELTA"
"P",0.307991829636604,"TS","NOTCH,STAT"
"N",0.131484593837535,"NF","NOTCH,Frizzled"
"P",0.338451115280383,"TS","NOTCH,AKT"
"N",0.137216117216118,"NF","NOTCH,Wnt"
"N",0.0192074592074592,"NF","NOTCH,PI3K"
"P",0.498168498168499,"TS","NOTCH,ILK"
"N",0.209016222174942,"NF","NOTCH,TCFLEF"
"N",0.393939393939394,"NF","NOTCH,SMO"
"N",0.463170163170163,"NF","NOTCH,Patched"
"P",0.364936040029441,"DA","NOTCH,cateninmemb"
"N",0.592653373291308,"NF","NOTCH,FOXC2"
"N",0.132449213398118,"NF","NOTCH,MEK"
"N",0.420330627227179,"NF","NOTCH,RKIP"
"P",0.274199795756505,"TS","NOTCH,SOSGRB2"
"N",0.109467424082276,"NF","NOTCH,Destcompl"
"N",0.181106994124136,"NF","NOTCH,RAS"
"N",0.286868686868687,"NF","NOTCH,IKK"
"N",0.357783502205313,"NF","NOTCH,TWIST1"
"P",0.20036075036075,"DA","NOTCH,Csn"
"N",0.23840990550668,"NF","NOTCH,NFB"
"N",0.170754508649245,"NF","NOTCH,CD44"
"N",0.154120079248859,"NF","NOTCH,cMet"
"P",0.203075853197501,"DA","NOTCH,AXIN2"
"P",0.0743745143745144,"DA","NOTCH,RAF"
"N",0.494720965309201,"NF","NOTCH,SHH"
"P",0.246737277640201,"TS","NOTCH,cateninnuc"
"P",0.745102352883145,"TS","NOTCH,KLF4"
"N",0.536406700709232,"NF","NOTCH,HEY1"
"N",0.0701025572841494,"NF","NOTCH,ERK"
"P",0.344319889168997,"TS","NOTCH,Ecadherin"
"P",0.19956025799679,"TS","NOTCH,SNAI2"
"N",0.30530303030303,"NF","NOTCH,FUS"
"N",0.217207792207792,"NF","NOTCH,SUFU"
"P",0.15452380952381,"DA","NOTCH,SRC"
"N",0.123372705725647,"NF","NOTCH,DSH"
"N",0.0828494933058827,"NF","NOTCH,GSK3"
"N",0.618265974539612,"NF","NOTCH,TGF"
"N",0.595708536618981,"NF","NOTCH,TGFR"
"N",0.925812807881774,"NF","NOTCH,SMAD"
"N",0.934640860476422,"NF","NOTCH,ZEB1"
"P",0.253812757700703,"DA","NOTCH,NOTCHic"
"N",0.261538461538462,"NF","NOTCH,cfos"
"N",0.597094017094018,"NF","NOTCH,CDC42"
"N",1.0188886086591,"NF","NOTCH,ZEB2"
"P",0.233682887570833,"DA","NOTCH,Csl"
"N",0.394239381308347,"NF","NOTCH,GLI"
"P",0.267912087912088,"NF","NOTCH,TrCP"
"N",0.567912087912088,"NF","NOTCH,PAK1"
"N",0.963622498678021,"NF","NOTCH,miR200"
"N",0.724529042386185,"NF","NOTCH,SNAI1"
"P",0.397575757575758,"TS","Jagged,Jagged"
"N",0.205454545454546,"NF","Jagged,DELTA"
"P",0.315337900022134,"NF","Jagged,STAT"
"N",0.246356209150327,"NF","Jagged,Frizzled"
"P",0.381564037024128,"TS","Jagged,AKT"
"N",0.255245098039216,"NF","Jagged,Wnt"
"P",0.126052631578948,"TS","Jagged,PI3K"
"P",0.519385964912281,"TS","Jagged,ILK"
"P",0.281242809717023,"DA","Jagged,TCFLEF"
"N",0.482354497354497,"NF","Jagged,SMO"
"N",0.557354497354497,"NF","Jagged,Patched"
"P",0.554424342563827,"DA","Jagged,cateninmemb"
"N",0.763352804117422,"NF","Jagged,FOXC2"
"N",0.14759641038079,"NF","Jagged,MEK"
"N",0.46759641038079,"NF","Jagged,RKIP"
"P",0.213864832120375,"TS","Jagged,SOSGRB2"
"N",0.170016522094742,"NF","Jagged,Destcompl"
"P",0.0838747020769493,"DA","Jagged,RAS"
"N",0.394040924711028,"NF","Jagged,IKK"
"N",0.57974025192341,"NF","Jagged,TWIST1"
"P",0.0247059477792268,"NF","Jagged,Csn"
"N",0.306271140538366,"NF","Jagged,NFB"
"P",0.15986013986014,"DA","Jagged,CD44"
"P",0.15434174521131,"DA","Jagged,cMet"
"P",0.340200146504494,"DA","Jagged,AXIN2"
"N",0.140929743714124,"NF","Jagged,RAF"
"N",0.60065934065934,"NF","Jagged,SHH"
"P",0.416047503568379,"TS","Jagged,cateninnuc"
"P",0.850495661260279,"TS","Jagged,KLF4"
"N",0.650495661260279,"NF","Jagged,HEY1"
"P",0.15607030596312,"DA","Jagged,ERK"
"P",0.542611603289265,"TS","Jagged,Ecadherin"
"N",0.402039667750456,"NF","Jagged,SNAI2"
"N",0.400426786511124,"NF","Jagged,FUS"
"P",0.316341275822288,"NF","Jagged,SUFU"
"P",0.343136320865679,"DA","Jagged,SRC"
"P",0.157208922328621,"NF","Jagged,DSH"
"N",0.207766855041097,"NF","Jagged,GSK3"
"N",0.735738422516774,"NF","Jagged,TGF"
"N",0.690955813821121,"NF","Jagged,TGFR"
"N",0.907987571568217,"NF","Jagged,SMAD"
"N",0.865284061925517,"NF","Jagged,ZEB1"
"P",0.257836198630901,"DA","Jagged,NOTCHic"
