,Network,PFL,Type1,Type2,MISA,MISSA,uMISSA
0,grhlovol_1,3,1,0,0,0,0
1,grhlovol_10,2,0,0,0,0,0
2,grhlovol_11,3,1,0,0,0,0
3,grhlovol_12,4,4,0,0,0,0
4,grhlovol_13,3,1,0,0,0,0
5,grhlovol_14,3,1,0,0,0,0
6,grhlovol_15,3,1,0,0,0,0
7,grhlovol_16,3,1,0,0,0,0
8,grhlovol_17,3,1,0,0,0,0
9,grhlovol_18,4,4,0,0,3,3
10,grhlovol_19,3,1,0,0,0,0
11,grhlovol_2,2,0,0,0,0,0
12,grhlovol_20,4,1,2,2,1,1
13,grhlovol_21,2,0,0,0,0,0
14,grhlovol_22,2,0,0,0,0,0
15,grhlovol_23,2,0,0,0,0,0
16,grhlovol_24,2,0,0,0,0,0
17,grhlovol_25,2,0,0,0,0,0
18,grhlovol_26,3,1,0,0,0,0
19,grhlovol_27,2,0,0,0,0,0
20,grhlovol_28,2,0,0,0,0,0
21,grhlovol_29,2,0,0,0,0,0
22,grhlovol_3,3,1,0,0,0,0
23,grhlovol_30,4,4,0,0,0,0
24,grhlovol_31,2,0,0,0,0,0
25,grhlovol_32,3,1,0,0,0,0
26,grhlovol_33,2,0,0,0,0,0
27,grhlovol_34,3,1,0,0,0,0
28,grhlovol_35,2,0,0,0,0,0
29,grhlovol_36,4,4,0,0,3,3
30,grhlovol_37,2,0,0,0,0,0
31,grhlovol_38,4,1,2,2,1,1
32,grhlovol_39,2,0,0,0,0,0
33,grhlovol_4,2,0,0,0,0,0
34,grhlovol_40,2,0,0,0,0,0
35,grhlovol_41,2,0,0,0,0,0
36,grhlovol_42,3,1,0,0,0,0
37,grhlovol_43,2,0,0,0,0,0
38,grhlovol_44,2,0,0,0,0,0
39,grhlovol_45,2,0,0,0,0,0
40,grhlovol_46,4,4,0,0,0,0
41,grhlovol_47,2,0,0,0,0,0
42,grhlovol_48,3,1,0,0,0,0
43,grhlovol_49,2,0,0,0,0,0
44,grhlovol_5,3,1,0,0,0,0
45,grhlovol_50,3,1,0,0,0,0
46,grhlovol_51,2,0,0,0,0,0
47,grhlovol_52,4,4,0,0,3,3
48,grhlovol_53,2,0,0,0,0,0
49,grhlovol_54,4,1,2,2,1,1
50,grhlovol_55,2,0,0,0,0,0
51,grhlovol_6,2,0,0,0,0,0
52,grhlovol_7,3,1,0,0,0,0
53,grhlovol_8,3,1,0,0,0,0
54,grhlovol_9,3,1,0,0,0,0
55,wild,4,4,0,0,3,3
