"","KEAP1","SNAIL","GRHL2","Ecad","OVOL2","miR34","ZEB","miR200","NRF2"
"OVOL2",0.15051766464367,0.113771854235684,0.125882199477298,0.125882199477298,-0.0113334817814486,0.104607644102423,-0.113584062831335,-0.155101103488947,-0.127898799729616
"miR34",0.130499798122793,0.0524458248620558,0.0994459287768892,0.0994459287768892,0.0754697620435876,-0.00985437475275902,-0.109922359966072,-0.12777389127583,-0.117359521284911
"SNAIL",0.12777389127583,-0.0512369746299719,0.109922359966072,0.109922359966072,0.086904872664932,-0.00298876133360552,-0.10177958017516,-0.130843632399044,-0.111951505833438
"KEAP1",0.125421673122793,0.0471062263998601,0.111034570373205,0.111034570373205,0.0888580215698492,-0.00219391926621658,-0.0994459287768892,-0.130499798122793,-0.208348532273922
"Ecad",0.189437893260188,0.120602939147715,0.100530542572262,0.100530542572262,0.0822265584637785,0.0700507457588655,-0.0790244800323773,-0.197627956885475,-0.288296532454157
"GRHL2",0.163555729984301,0.104838905198355,0.0978511301081762,0.0978511301081762,0.0812932484077416,0.0596847951799282,-0.073742368778871,-0.172562737333472,-0.182509630881209
"ZEB",-0.172562737333472,-0.115091271128955,-0.073742368778871,-0.073742368778871,-0.0540156130993329,-0.0436004437675867,-0.00547212070563769,0.166513918347058,0.198980897458183
"miR200",-0.27033382151239,-0.0875649930558912,-0.10630305767757,-0.10630305767757,-0.0848457109220527,-0.0486117507200157,0.0853836026771063,0.178403665778554,0.292523523377128
"NRF2",-0.130499798122793,-0.0524458248620558,-0.0994459287768892,-0.0994459287768892,-0.0754697620435876,0.00985437475275902,0.109922359966072,0.12777389127583,0.117359521284911
