"","ZEB","NRF2","OVOL2","miR200","miR34","GRHL2","Ecad","KEAP1","SNAIL"
"ZEB",-0.094519251088432,-0.0879581856961956,-0.0194931605278623,-0.0192987755207748,-0.00158248388696625,-0.000204914194648416,-0.000204914194648416,0.0285721280209158,0.0309059221742897
"NRF2",-0.0399188525726856,-0.0191028937354104,0.0318761572424354,-0.065161955890656,-0.0682818805693083,-0.0264599874140858,-0.0264599874140858,0.0432903096146311,0.0334563154232295
"OVOL2",-0.030650546600177,-0.0175834690779919,-0.0518160927660103,-0.0502757793278007,0.0417837953277781,-0.0391027205132205,-0.0391027205132205,0.0639923320415678,-0.0584705866937202
"SNAIL",-0.029535246424991,-0.0195374664056181,0.0476174474009503,-0.0483137453941218,-0.0527757366254815,-0.0399188525726856,-0.0399188525726856,0.065161955890656,-0.0493996179759522
"miR200",-0.00595055992525059,0.186109312632211,0.0291826655376749,0.0165253458249126,-0.000243577639150279,-0.0110020012080386,-0.0110020012080386,-0.108361117415285,0.0404886450154992
"GRHL2",0.000204914194648416,0.0876314511199895,0.0282122859159039,0.0285721280209158,0.0100876585815425,-0.00724725096144423,-0.00724725096144423,-0.0165229056657628,-0.0215773958110631
"Ecad",0.00114337832577904,-0.00563558936146029,0.0199505819936176,0.0801292159366657,0.0975348378511538,-0.00113805115730966,-0.00113805115730966,-0.0764876835148436,-0.0832166257166257
"KEAP1",0.0264599874140858,-0.0802377656052489,-0.0522675063670492,0.0432903096146311,0.0481399107378975,0.0438813227939784,0.0438813227939784,-0.0716757262812977,-0.0558826289644512
"miR34",0.0399188525726856,0.0191028937354104,-0.0318761572424354,0.065161955890656,0.0682818805693083,0.0264599874140858,0.0264599874140858,-0.0432903096146311,-0.0334563154232295
