"","SNAIL","GRHL2","Ecad","KEAP1","OVOL2","ZEB","miR200","miR34","NRF2"
"SNAIL",0.435553064845573,0.135901615803473,0.135901615803473,-0.19118601416235,0.104415749458115,-0.113814065301578,-0.171183184907858,-0.333940017115222,0.017772151657184
"KEAP1",0.527116478179106,0.136786333035839,0.136786333035839,-0.19094890587731,0.106418082610768,-0.110462465038909,-0.16751140587731,-0.331809673538608,-0.0812339733943298
"miR200",0.279558801158019,0.105558872203373,0.105558872203373,0.0763032802628505,0.0900539750331615,-0.0627652861434974,0.0151423552982445,-0.147960202589875,-0.231360440476239
"Ecad",0.395390981211877,0.104235071870464,0.104235071870464,-0.0230605563512823,0.0899883523662817,-0.0597392199240694,0.0173211953747228,-0.253071758423281,-0.219768867467325
"GRHL2",0.239239790877577,0.0960043041439023,0.0960043041439023,-0.00633245326102471,0.0869865114549965,-0.0467394501660574,0.03849749033836,-0.127829375442715,-0.130635241770382
"OVOL2",0.0847152595548061,0.0801007847555995,0.0801007847555995,-0.0805754639734555,-0.0199631350277386,-0.0282597909667796,-0.0331119711060629,-0.0829211469874756,0.0137431604433274
"ZEB",-0.255125324901912,-0.0467394501660574,-0.0467394501660574,-0.03849749033836,-0.0347932330098622,-0.00791456695064136,0.00321286537503984,0.0871554979234557,0.146645236004478
"NRF2",-0.539461629823702,-0.110462465038909,-0.110462465038909,0.16751140587731,-0.0779937777703975,0.135901615803473,0.19118601416235,0.311490241417933,-0.0099015577412014
"miR34",-0.539461629823702,-0.110462465038909,-0.110462465038909,0.16751140587731,-0.0779937777703975,0.135901615803473,0.19118601416235,0.311490241417933,-0.0099015577412014
