"","Ecad","miR34","miR200","OVOL2","SNAIL","NRF2","KEAP1","ZEB","GRHL2"
"GRHL2",0.317687746244789,0.279008094747929,0.164653012722073,0.160306007795338,-0.0935084977818071,-0.151455665435988,-0.161354431283003,-0.31742591341498,-0.317687746244789
"Ecad",0.310489642029333,0.259104878780484,0.134712313349025,0.15983032042885,0.00327473722996111,-0.253704403344609,-0.130989557155713,-0.30986743398849,-0.310489642029333
"miR200",0.30659421678098,0.255749103736167,0.162449714148786,0.155849159160902,-0.073553016284775,-0.0444057051590307,-0.258784463244271,-0.306028826105292,-0.30659421678098
"OVOL2",0.0988583267662993,0.0912394738325807,-0.0268155082423455,-0.0278213738542657,-0.0609825258115471,-0.0674231511405194,0.0310781907780086,-0.0971341031638148,-0.0988583267662993
"SNAIL",0.0884727688104621,0.0982522624718824,-0.0171767706513,0.0730946480918188,-0.0901134365489027,-0.058680981035075,0.0195957832414825,-0.0875106296126612,-0.0884727688104621
"KEAP1",0.0887873855863961,0.0982466724270773,-0.0162688890581814,0.0739705537205692,0.0113052526454498,-0.156421627641004,0.0216074307248481,-0.0867919903446463,-0.0887873855863961
"NRF2",-0.0867919903446463,-0.0978621708003396,0.0195957832414825,-0.0709839419800955,-0.00733259138957621,0.0619161331355095,-0.0162688890581814,0.0884727688104621,0.0867919903446463
"miR34",-0.0867919903446463,-0.0978621708003396,0.0195957832414825,-0.0709839419800955,-0.00733259138957621,0.0619161331355095,-0.0162688890581814,0.0884727688104621,0.0867919903446463
"ZEB",-0.31742591341498,-0.279342699058877,-0.16329442430108,-0.159145257356683,0.095536438295552,0.154588473431375,0.164653012722073,0.218693079871558,0.31742591341498
