"","NRF2","SNAIL","GRHL2","Ecad","OVOL2","miR34","ZEB","miR200","KEAP1"
"miR34",-0.00691622684384377,0.203900881242039,0.080182463588639,0.080182463588639,0.0631155780117488,-0.109945735284082,-0.100263343153911,-0.123204695595904,0.104938973337909
"SNAIL",-0.0133382451924676,0.0975371166025577,0.100263343153911,0.100263343153911,0.0843158831740782,-0.0960584717771575,-0.0821742932143054,-0.106681849365886,0.123204695595904
"KEAP1",-0.114168974096591,0.19685261127194,0.102362049160397,0.102362049160397,0.0865965254885768,-0.0946544013592074,-0.080182463588639,-0.104938973337909,0.125251473337909
"GRHL2",0.132057270383242,0.0708871038543056,0.0854039689464094,0.0854039689464094,0.0809823580162314,0.0558051290708387,-0.0379920857641334,0.0579292524381154,-0.0146033252461824
"miR200",0.233691645218833,-0.0479311351455176,0.0809665088284313,0.0809665088284313,0.078440258126462,0.0644010813560272,-0.0353552380897159,0.0643782004824909,-0.12270760114318
"OVOL2",-0.0136280193955438,0.0763930608371617,0.0792514559371399,0.0792514559371399,-0.0205711520271431,0.0617379027336318,-0.0282849963098107,-0.0327109723551244,0.0792290782047066
"Ecad",0.227447962406272,-0.116460192019894,0.0545377291102838,0.0545377291102838,0.0595063476925539,0.14348544465271,-0.0215926110502966,0.115316399209291,-0.085222991872077
"ZEB",-0.147490674188738,-0.0860065270178928,-0.0379920857641334,-0.0379920857641334,-0.030894626878426,-0.022990562111069,-0.0191564579895984,-0.0188571514177647,0.0579292524381154
"NRF2",0.00691622684384377,-0.203900881242039,-0.080182463588639,-0.080182463588639,-0.0631155780117488,0.109945735284082,0.100263343153911,0.123204695595904,-0.104938973337909
