"","GRHL2","Ecad","miR34","OVOL2","SNAIL","miR200","KEAP1","NRF2","ZEB"
"Ecad",0.333422430805672,0.333422430805672,0.18720885078312,0.170999273167918,0.159300173404651,0.114156864056588,-0.112600075103021,-0.276567671430036,-0.334427536102417
"miR200",0.33158070345286,0.33158070345286,0.279902875687832,0.168003035820759,0.0784672739410215,0.141386489226253,-0.239860612240253,-0.0688786985556304,-0.332646603907026
"OVOL2",0.105089711605205,0.105089711605205,0.0898200375053837,-0.0252800931201479,0.10327257037117,-0.0344520445054532,0.0359460936318143,-0.0754978254077233,-0.104736916574149
"miR34",0.0928416272253267,0.0928416272253267,-0.0129381581705088,0.0745282993154486,0.0418540598620776,-0.0235773523378001,0.0225685521660894,-0.0660481646506146,-0.0936125105818286
"SNAIL",0.0936125105818286,0.0936125105818286,-0.0124505435810803,0.0754522630350383,-0.0578496229374145,-0.0228841849873969,0.0235773523378001,-0.0648410183444822,-0.0935167131725238
"KEAP1",0.0933021030503458,0.0933021030503458,-0.0126128106401923,0.0757641386563343,0.0413841751974044,-0.0225685521660894,0.0250425104994228,-0.162897981500431,-0.0928416272253267
"NRF2",-0.0928416272253267,-0.0928416272253267,0.0129381581705088,-0.0745282993154486,-0.0418540598620776,0.0235773523378001,-0.0225685521660894,0.0660481646506146,0.0936125105818286
"ZEB",-0.346666658543214,-0.346666658543214,-0.286669239270562,-0.173800928797263,-0.171211752992709,-0.140627559571631,0.140655746053395,0.180525570916613,0.247854212447546
"GRHL2",-0.345276930446537,-0.345276930446537,-0.285945560179441,-0.173530986834785,-0.170558305493835,-0.140655746053395,0.139339731696875,0.178430625692704,0.346666658543214
