"","miR34","Ecad","miR200","OVOL2","SNAIL","NRF2","ZEB","KEAP1","GRHL2"
"GRHL2",0.214901849320328,0.200779051639978,0.11194389020409,0.101444410073017,-0.0784778520599213,-0.0959622010028762,-0.199872707229102,-0.109397316968746,-0.200779051639978
"miR200",0.218991980440833,0.196596293051095,0.116984539209075,0.0995002415208504,-0.0676093637528871,0.00923194032591099,-0.195270869008088,-0.21331928830456,-0.196596293051095
"SNAIL",-0.0376187742106743,0.074927993439193,-0.0407312466411091,0.0665178394576305,-0.0472721717705982,-0.0576076046637754,-0.0728162853297341,0.046517072076107,-0.074927993439193
"KEAP1",-0.0351382134616844,0.076153950433711,-0.0382964238683371,0.0681009978074248,0.0574434674499346,-0.154572423202713,-0.0719329220377018,0.0500151738683371,-0.076153950433711
"OVOL2",0.0728746926044162,0.0689265450165985,-0.0408181453847834,-0.0424748288160001,-0.0545633764351755,-0.0539715568137605,-0.0674408307308843,0.0448782449880585,-0.0689265450165985
"NRF2",0.0435676722017022,-0.0719329220377018,0.046517072076107,-0.0627456939969202,-0.0415101056387428,0.0646090532393428,0.074927993439193,-0.0382964238683371,0.0719329220377018
"miR34",0.0435676722017022,-0.0719329220377018,0.046517072076107,-0.0627456939969202,-0.0415101056387428,0.0646090532393428,0.074927993439193,-0.0382964238683371,0.0719329220377018
"ZEB",-0.21310432383593,-0.199872707229102,-0.110179416445704,-0.100283659634362,0.0819028182609128,0.0981340249505987,0.100502973267714,0.11194389020409,0.199872707229102
"Ecad",-0.196023733894739,-0.189457483726623,-0.131734666361136,-0.0946245051892877,0.116575175194578,-0.0167797198042772,0.189617024249916,0.132154322513837,0.189457483726623
