"","ZEB","OVOL2","KEAP1","miR34","Ecad","GRHL2","miR200","SNAIL","NRF2"
"ZEB",-0.0882063580144519,-0.0253700946985539,-0.0209349517830852,-0.0105669657297218,-0.00981659693811231,0.00981659693811231,0.0193057731371638,0.0309854405853385,0.0897571318573729
"OVOL2",-0.0734260436973565,-0.0402136390885181,-0.0458353279559102,0.079817595047566,0.0742359815855552,-0.0742359815855552,0.0450840829149716,-0.0758409010694294,-0.00836844754967005
"SNAIL",-0.0339187590465273,0.0461474163015334,0.0856375388374111,-0.0563470382483875,0.0397374103856085,-0.0397374103856085,-0.0903482475656612,-0.0388985660018288,-0.0569450054555455
"KEAP1",-0.031636816426301,0.0501086688219642,0.0831123523703581,-0.0518951300268854,0.0429952201101076,-0.0429952201101076,-0.0922269357036914,0.0673408697001836,-0.155070276289653
"Ecad",-0.0113924788084152,0.0303243781347122,0.0779054404336404,0.021506956091411,0.0159393837222633,-0.0159393837222633,-0.0815740474459593,0.0720535790685044,-0.204486026822977
"GRHL2",-0.00981659693811231,0.0287983576220254,0.0186960182674468,0.0144032430622251,0.0125759121445574,-0.0125759121445574,-0.0209349517830852,-0.0256902625772268,-0.0885847313192218
"miR200",-0.00652536834415819,0.028545946439938,-0.0942785391602176,0.0212662582657878,0.0103348038803525,-0.0103348038803525,-0.00872602274004983,-0.0294682434330396,0.0180860878629317
"NRF2",0.0397374103856085,-0.0361024896252598,-0.0922269357036914,0.0676596967231291,-0.031636816426301,0.031636816426301,0.0856375388374111,-0.0451708568851473,0.0607113019306783
"miR34",0.0397374103856085,-0.0361024896252598,-0.0922269357036914,0.0676596967231291,-0.031636816426301,0.031636816426301,0.0856375388374111,-0.0451708568851473,0.0607113019306783
