"","GRHL2","Ecad","KEAP1","miR34","SNAIL","OVOL2","ZEB","miR200","NRF2"
"GRHL2",0.347926910901066,0.347926910901066,0.332452547452547,0.282455515970349,0.196424117580504,0.174837894407932,-0.349659035775185,-0.335340942598676,-0.372186276141455
"Ecad",0.335576473203072,0.335576473203072,0.309078434670793,0.184277259347644,0.179625420632883,0.17204325236623,-0.336932567651062,-0.311528685110755,-0.458527750059446
"miR200",0.333964125274484,0.333964125274484,0.207732850760325,0.276723551120268,0.100455507662067,0.169173968048816,-0.335382236313505,-0.310234030562119,-0.254536294108229
"OVOL2",0.105713725703415,0.105713725703415,0.141449140458835,0.0887844865784751,0.110216135873033,-0.0250480062586388,-0.105579564212732,-0.141761455812933,-0.118907033995252
"SNAIL",0.0941387030960169,0.0941387030960169,0.120501517048744,-0.0131670557481544,-0.0533970916170846,0.0756686113299616,-0.0941595286197788,-0.120756149952974,-0.10421532630862
"miR34",0.0934689191961054,0.0934689191961054,0.119921993545846,-0.01353764283612,0.0464194739254581,0.0749480891633091,-0.0941387030960169,-0.120501517048744,-0.103973897047394
"KEAP1",0.0935456651669419,0.0935456651669419,0.119140743545846,-0.0135080657879094,0.0457787221099946,0.0757719820572329,-0.0934689191961054,-0.119921993545846,-0.201849354922852
"NRF2",-0.0934689191961054,-0.0934689191961054,-0.119921993545846,0.01353764283612,-0.0464194739254581,-0.0749480891633091,0.0941387030960169,0.120501517048744,0.103973897047394
"ZEB",-0.349659035775185,-0.349659035775185,-0.335340942598676,-0.28333482497354,-0.197753545250625,-0.175364281234764,0.250932836611116,0.337173063913294,0.376203189460694
