"","ZEB","miR34","miR200","OVOL2","GRHL2","Ecad","NRF2","KEAP1","SNAIL"
"NRF2",-0.211158834820302,0.386471837680877,0.31815856594761,0.138049444231728,0.20679892075484,0.20679892075484,0.014186612761223,-0.319038583118677,-0.587580518671573
"miR34",-0.211158834820302,0.386471837680877,0.31815856594761,0.138049444231728,0.20679892075484,0.20679892075484,0.014186612761223,-0.319038583118677,-0.587580518671573
"ZEB",-0.0607487371318444,-0.0453140358838499,-0.0451284389941963,-0.0350857856872582,-0.0308455042268765,-0.0308455042268765,0.0434349150565335,0.056961124038449,0.115705672591884
"miR200",-0.0493895392228736,0.0891280789844379,0.0784122705707415,0.0559033591308685,0.0583894465358776,0.0583894465358776,0.0691943019245439,-0.163578229356332,-0.175709964196199
"OVOL2",-0.0361430979253088,0.0494959146428548,-0.0455485354646221,-0.0453274348632829,0.0492263277389734,0.0492263277389734,-0.0348653656717585,0.0645153625094436,-0.0498883669176712
"Ecad",0.0114472121038046,-0.0237455489205042,0.00144285049191579,0.0216373284964104,-0.00329469136353653,-0.00329469136353653,-0.123925462442881,0.00915685168758874,0.196948379373753
"GRHL2",0.0308455042268765,-0.055406635681531,-0.056961124038449,-0.0475571043537449,-0.041379240379948,-0.041379240379948,0.0271942846509982,0.0409467675181961,0.107684041226404
"KEAP1",0.20679892075484,-0.384963408222137,-0.319038583118677,-0.141036055972202,-0.207719872404878,-0.207719872404878,-0.119241557816168,0.30901254145201,0.577114905685669
"SNAIL",0.210088402898939,-0.392225689836133,-0.323152200125005,-0.141957217394396,-0.211158834820302,-0.211158834820302,-0.018484053611054,0.31815856594761,0.490783566505635
