"","OVOL2","SNAIL","ZEB","Ecad","miR200","KEAP1","GRHL2","miR34","NRF2"
"OVOL2",0.256787152391663,0.116406904691261,-0.0924256756173909,0.0931958619527946,-0.17055631800855,0.171324444960521,-0.0931958619527946,-0.104537050956685,-0.121261478500015
"ZEB",-0.149181477716488,-0.0915709088892868,-0.059328010773042,-0.0400815294644688,0.000307104702365922,0.00036373356360172,0.0400815294644688,0.0491207063038054,0.0599131195663325
"SNAIL",0.0791717567243541,-0.0277856866693676,-0.0430446282370368,0.0479302961115838,-0.0617506062491511,0.0671827748727188,-0.0479302961115838,-0.106481339871868,-0.0470292801669626
"KEAP1",0.0810939843290437,0.07162945438554,-0.0401835502503428,0.0523094136425147,-0.0584899223292545,0.0720315889959212,-0.0523094136425147,-0.109894624691227,-0.139973213748269
"GRHL2",0.149572893562081,0.0909399940627884,-0.0400815294644688,0.0411087197967951,0.00036373356360172,0.0006446410732125,-0.0411087197967951,-0.0501245192366511,-0.0578950530662364
"Ecad",0.152535218664678,0.130120942322435,-0.0385714317625112,0.0419058286993332,0.00760583880019303,-0.00399138096886773,-0.0419058286993332,-0.13949861623969,-0.15508281958539
"miR200",0.145600678189296,0.00817514519034002,-0.0367824290897756,0.0392200970849558,0.00808560718973633,-0.105458581863325,-0.0392200970849558,-0.0291044011942192,0.0477882047078941
"NRF2",-0.0757386805185391,-0.0738934441335109,0.0479302961115838,-0.0401835502503428,0.0671827748727188,-0.0584899223292545,0.0401835502503428,0.0999863135406799,0.0596801734552291
"miR34",-0.0757386805185391,-0.0738934441335109,0.0479302961115838,-0.0401835502503428,0.0671827748727188,-0.0584899223292545,0.0401835502503428,0.0999863135406799,0.0596801734552291
