"","OVOL2","miR34","KEAP1","GRHL2","Ecad","ZEB","miR200","SNAIL","NRF2"
"SNAIL",0.161866905296452,-0.142254452493556,-0.182623548541533,0.130829146537349,0.130829146537349,-0.112057019418352,-0.165888508224656,0.315213724395703,0.0170419900146241
"KEAP1",0.161652272013732,-0.140321439229228,-0.184162320944409,0.132794630926822,0.132794630926822,-0.109080125938334,-0.163198779277742,0.4164011269275,-0.0816794076927707
"OVOL2",0.275217664697346,0.131440386519481,-0.154136433291512,0.116804626293024,0.116804626293024,-0.0964965517588623,-0.135929292243145,-0.137917099595689,0.0140150532369024
"miR200",0.198619842744965,0.0598803834383096,0.0940652819442568,0.0954356367924504,0.0954356367924504,-0.0593896640424273,0.0262345441748688,0.0506550483306915,-0.232877100187567
"Ecad",0.203069437238189,0.0597883758101026,-0.0065734647972586,0.0947622751921368,0.0947622751921368,-0.0568394928054105,0.0272562360285164,0.166755416494222,-0.221170194739584
"GRHL2",0.191914707488006,0.0909136890471634,0.0127979877265591,0.0851424269777553,0.0851424269777553,-0.0434908660512699,0.0500053027154499,-0.0973646061552201,-0.132284045517142
"ZEB",-0.171777037087142,-0.0545818860746321,-0.0500053027154499,-0.0434908660512699,-0.0434908660512699,-0.0196551566383075,-0.0171906006465622,0.114376773798303,0.146564268465441
"NRF2",-0.150838677780982,0.161232412314114,0.163198779277742,-0.109080125938334,-0.109080125938334,0.130829146537349,0.182623548541533,-0.406789849695548,-0.00989568388232085
"miR34",-0.150838677780982,0.161232412314114,0.163198779277742,-0.109080125938334,-0.109080125938334,0.130829146537349,0.182623548541533,-0.406789849695548,-0.00989568388232085
