"","OVOL2","SNAIL","GRHL2","Ecad","miR34","KEAP1","ZEB","miR200","NRF2"
"OVOL2",0.279611501405724,0.0820963969944188,0.118692323403447,0.118692323403447,0.105032168638243,-0.163888011105194,-0.109773068745062,-0.156890458982294,0.0133548755189486
"miR200",0.200314369902291,0.0776044512969442,0.0931515840885647,0.0931515840885647,0.0409204485726004,0.0948480555211097,-0.0781270220346209,0.00663034276351968,-0.23510527614959
"GRHL2",0.198979845721971,0.0960427999536518,0.0883887786211575,0.0883887786211575,0.0542862623959286,0.00139581846724705,-0.0696173788225673,0.016111251726519,-0.133893266695075
"Ecad",0.194954348320555,0.106931737416812,0.0824641072980307,0.0824641072980307,0.059221630280357,0.0105825907841217,-0.062952301299307,0.0258932717100727,-0.223774323271753
"miR34",0.0748547614577488,0.030010196623976,0.0367311965183202,0.0367311965183202,-0.0402632112521407,-0.0343778313350243,-0.0545878880386032,-0.048479569905533,0.00226949072717447
"SNAIL",0.0833738764869935,-0.0784136780761792,0.0545878880386032,0.0545878880386032,-0.0288725344430905,-0.048479569905533,-0.040439027194753,-0.0373323072092534,0.00980208367744004
"KEAP1",0.0853593958552771,0.0195445836380725,0.0590642740317507,0.0590642740317507,-0.0259774969664264,-0.0519559563350243,-0.0367311965183202,-0.0343778313350243,-0.0881334396757559
"ZEB",-0.190449679707664,-0.105236130282629,-0.0696173788225673,-0.0696173788225673,-0.0423261036534183,-0.016111251726519,-0.0151169142843125,-0.00406434942086476,0.14213850982404
"NRF2",-0.0748547614577488,-0.030010196623976,-0.0367311965183202,-0.0367311965183202,0.0402632112521407,0.0343778313350243,0.0545878880386032,0.048479569905533,-0.00226949072717447
