"","OVOL2","Ecad","miR34","miR200","SNAIL","KEAP1","NRF2","ZEB","GRHL2"
"GRHL2",0.404954821267401,0.359402726142497,0.349205336380833,0.126266135212542,-0.113155809196245,-0.123787926359355,-0.190314476212999,-0.361235555951158,-0.359402726142497
"Ecad",0.392195252738698,0.348663439761888,0.235604160286261,0.0997836682656228,0.0121682522801926,-0.0955464948528706,-0.288558795985409,-0.349349464012048,-0.348663439761888
"miR200",0.388445324392677,0.343509090094394,0.336391285280633,0.129846652514118,-0.0972489114264351,-0.226338708515377,-0.0781072714555659,-0.344500840951749,-0.343509090094394
"OVOL2",0.373608883310659,0.217073471173718,0.212108949826427,-0.117579893128372,-0.0882102565332971,0.119006414610603,-0.177412479370177,-0.217962912167507,-0.217073471173718
"SNAIL",0.147865483457091,0.113725695850623,-0.00737607828241408,-0.037654293942216,-0.0542537354848815,0.0430298774759548,-0.0801131541798177,-0.111830573188288,-0.113725695850623
"KEAP1",0.145898000058957,0.113251787298495,-0.00624261449162644,-0.0354531442714045,0.0512651987448273,0.0463906442714045,-0.175278095467405,-0.109567980698342,-0.113251787298495
"NRF2",-0.145280080388514,-0.109567980698342,0.0145537650388018,0.0430298774759548,-0.0338794661519183,-0.0354531442714045,0.0864868866761963,0.113725695850623,0.109567980698342
"miR34",-0.145280080388514,-0.109567980698342,0.0145537650388018,0.0430298774759548,-0.0338794661519183,-0.0354531442714045,0.0864868866761963,0.113725695850623,0.109567980698342
"ZEB",-0.408383084190872,-0.361235555951158,-0.349680007612644,-0.124772251679085,0.117459549619859,0.126266135212542,0.195100176770369,0.263803060761083,0.361235555951158
