"","SNAIL","GRHL2","Ecad","OVOL2","ZEB","miR200","miR34","KEAP1","NRF2"
"miR34",0.225730301362492,0.0808611341603325,0.0808611341603325,0.0629616531569171,-0.103368400683775,-0.128246905956703,-0.116061426089743,0.10740552368583,-0.115358735898825
"SNAIL",0.123204549986733,0.103368400683775,0.103368400683775,0.0864676292525346,-0.0828136087307573,-0.109177730684388,-0.0994435208820192,0.128246905956703,-0.0916503824463866
"KEAP1",0.222441108709779,0.105189606915513,0.105189606915513,0.0885023328685546,-0.0808611341603325,-0.10740552368583,-0.0979306955366523,0.13006177368583,-0.189204889744979
"Ecad",0.250502288487363,0.0958027279509057,0.0958027279509057,0.0861167734543925,-0.0481639276956408,0.0394779930566302,0.0350235381841228,0.00474835051992321,-0.148720743562548
"GRHL2",0.167293277042515,0.0934412753509369,0.0934412753509369,0.0865371714626182,-0.0396849812925281,0.0504259422731723,0.0444357185637459,-0.000537034394177238,-0.0386522392459485
"miR200",0.0268796347231732,0.0883683788960728,0.0883683788960728,0.083601138412786,-0.0367509908156205,0.0578926873453909,0.0549354821413824,-0.109992734537463,0.0656210855373065
"OVOL2",0.106856394760662,0.0834910867136644,0.0834910867136644,-0.0171203235127476,-0.0264823910614905,-0.0321335364206303,0.0616271494594857,0.0850330046404328,-0.0235605301898989
"ZEB",-0.174030546082623,-0.0396849812925281,-0.0396849812925281,-0.0302407751878173,-0.0107761080725618,-0.00447633970256514,-0.00438436069276307,0.0504259422731723,0.0960229868915376
"NRF2",-0.225730301362492,-0.0808611341603325,-0.0808611341603325,-0.0629616531569171,0.103368400683775,0.128246905956703,0.116061426089743,-0.10740552368583,0.115358735898825
