"","GRHL2","Ecad","miR34","miR200","SNAIL","NRF2","OVOL2","KEAP1","ZEB"
"GRHL2",0.44343790723443,0.44343790723443,0.358587038152749,0.347881414932456,0.193075997727362,-0.172502685817521,-0.223023576799247,-0.340104966462109,-0.452481210356283
"miR200",0.420903762576939,0.420903762576939,0.344623749714372,0.337260790624447,0.0986309617340157,-0.0614253788898831,-0.213516406344669,-0.430229171936387,-0.428958262530596
"Ecad",0.41506662310359,0.41506662310359,0.24593027396372,0.272888421797613,0.177402558111513,-0.27234353995519,-0.212695471840635,-0.266133311468657,-0.422660752012333
"OVOL2",0.130390338662615,0.130390338662615,0.108662676889671,0.0128981070389399,0.109379867325848,-0.0754702544833084,-0.116471423051193,-0.0114715855567081,-0.132184127482491
"SNAIL",0.113979065443755,0.113979065443755,0.00170986748689497,0.0139516407464239,-0.0532393172433541,-0.064269808334149,-0.0858627854908883,-0.0129755479468765,-0.11531606406927
"miR34",0.112197187521349,0.112197187521349,0.000754142891615076,0.0129755479468765,0.0462950414415619,-0.0640283790729225,-0.0850066356222776,-0.0114945434394715,-0.113979065443755
"KEAP1",0.110125046308762,0.110125046308762,-0.000872594759967297,0.0114945434394715,0.0444582195705666,-0.162489917534461,-0.0839767695048729,-0.00862996010613818,-0.112197187521349
"NRF2",-0.112197187521349,-0.112197187521349,-0.000754142891615076,-0.0129755479468765,-0.0462950414415619,0.0640283790729225,0.0850066356222776,0.0114945434394715,0.113979065443755
"ZEB",-0.452481210356283,-0.452481210356283,-0.364555445280599,-0.35376111502829,-0.196253104532229,0.176173644879601,0.227221174315781,0.347881414932456,0.359128858468802
