"","ZEB","miR200","OVOL2","Ecad","miR34","GRHL2","NRF2","KEAP1","SNAIL"
"ZEB",-0.0736162354685767,-0.0296290499247724,-0.0241980343311251,-0.0119937957130063,-0.000963541468989895,0.0119937957130063,0.0423595722310524,0.0470201091727571,0.0724470370891432
"NRF2",-0.0412693319711053,-0.0451479898303434,0.030644562131137,0.0250807814845641,0.0593195325923513,-0.0250807814845641,-0.046748006052015,0.025594437565909,0.00363021434984177
"OVOL2",-0.0309320353320814,-0.0413473833428205,-0.0423595984384045,0.0509519111084789,0.0411624175850249,-0.0509519111084789,-0.0295255879125138,0.0655307208966315,-0.0732993381902854
"SNAIL",-0.0281367566868369,-0.0292900184058138,0.0489288717013668,0.0412693319711053,0.0709832735714814,-0.0412693319711053,-0.02526080180286,0.0451479898303434,-0.0934207239879598
"miR200",-0.0206000545040819,0.0345224927177505,0.0455450677683905,0.0349758075859245,0.0225893178432178,-0.0349758075859245,0.0700097308186427,-0.117171541010971,-0.00150360729148152
"GRHL2",-0.0119937957130063,0.0470201091727571,0.0442277279469977,0.0297380051792701,0.0137641017366733,-0.0297380051792701,-0.0188154630632646,-0.0256049664621093,-0.0692023322671513
"Ecad",-0.0103307021197292,0.0911366984776869,0.0340263637685729,0.0202381686162193,0.0192834349200731,-0.0202381686162193,-0.106976732639782,-0.0791832667733415,-0.083600324980922
"KEAP1",0.0250807814845641,0.025594437565909,-0.0531986301023008,-0.0450347339020622,-0.0736644009744868,0.0450347339020622,-0.0796988803948715,-0.0496829792325757,-0.00726114130413481
"miR34",0.0412693319711053,0.0451479898303434,-0.030644562131137,-0.0250807814845641,-0.0593195325923513,0.0250807814845641,0.046748006052015,-0.025594437565909,-0.00363021434984177
