"","miR34","GRHL2","Ecad","miR200","OVOL2","NRF2","KEAP1","SNAIL","ZEB"
"GRHL2",0.343636023088977,0.333854140267946,0.333854140267946,0.184034117907387,0.167428786207315,-0.156076732167597,-0.183299200799201,-0.18974340338556,-0.334740343691913
"Ecad",0.271480652229148,0.270909563085441,0.270909563085441,0.176316136189858,0.137272694051524,-0.218085863371986,-0.176356748075603,-0.174012689273883,-0.271340322498332
"SNAIL",0.0653713558119714,0.208019247149398,0.208019247149398,0.0217177814065162,0.139562864842906,-0.118456498794212,-0.0210670528734846,-0.112683873155963,-0.208414932100875
"NRF2",0.0643961266331144,0.207197814064601,0.207197814064601,0.0210670528734846,0.139079691154681,-0.118746213907684,-0.0208309507056375,-0.0122464525266415,-0.208019247149398
"OVOL2",0.210971203563647,0.200266833169458,0.200266833169458,0.0287364570198603,0.017719110888783,-0.112055971595895,-0.0286773703312471,-0.155675108884343,-0.200699131306104
"KEAP1",-0.0633017758493226,-0.20589313256038,-0.20589313256038,-0.0208309507056375,-0.1388737179312,0.0166216717831417,0.0178361590389708,0.0107513649572268,0.207197814064601
"miR34",-0.0643961266331144,-0.207197814064601,-0.207197814064601,-0.0210670528734846,-0.139079691154681,0.118746213907684,0.0208309507056375,0.0122464525266415,0.208019247149398
"ZEB",-0.34470208798665,-0.334740343691913,-0.334740343691913,-0.184626034024418,-0.167806704954785,0.156365027381896,0.184034117907387,0.190013795454059,0.235164943970557
"miR200",-0.324038027065314,-0.312776668144456,-0.312776668144456,-0.177075290221629,-0.158081828931145,0.244406515848014,0.0763674091456495,0.153264883513718,0.313342058820145
