"","OVOL2","GRHL2","Ecad","SNAIL","miR200","KEAP1","NRF2","ZEB","miR34"
"GRHL2",0.695642404823088,0.66766782365747,0.66766782365747,0.310481168165996,0.171879480848277,-0.166564150135579,-0.352003803513968,-0.70361948528889,-0.629510086845245
"miR200",0.657150187386966,0.62709701169951,0.62709701169951,0.193211416709235,0.170934059930659,-0.265444048919175,-0.227274855420027,-0.658805233036057,-0.563599939722768
"Ecad",0.638838895420553,0.607637542022188,0.607637542022188,0.296507690574855,0.137111521367748,-0.131466469249162,-0.423023146027144,-0.637535436087281,-0.553140350648921
"OVOL2",0.517004901614856,0.371122969113927,0.371122969113927,0.226465514054784,-0.0953170347668217,0.0981109910426721,-0.257526199715599,-0.389085702033181,-0.361280004591149
"SNAIL",0.221883312589476,0.190343436956079,0.190343436956079,0.0181165005830784,-0.0280417201139707,0.0310124373299843,-0.121696777888761,-0.196778523798513,-0.213492449717723
"KEAP1",0.201955468691933,0.172783865720969,0.172783865720969,0.11030560304653,-0.0291021561537662,0.0360031978204329,-0.206258853508297,-0.17961425712542,-0.19723303425642
"NRF2",-0.211533223583797,-0.17961425712542,-0.17961425712542,-0.112740459945291,0.0310124373299843,-0.0291021561537662,0.11995848720793,0.190343436956079,0.204656873357278
"miR34",-0.211533223583797,-0.17961425712542,-0.17961425712542,-0.112740459945291,0.0310124373299843,-0.0291021561537662,0.11995848720793,0.190343436956079,0.204656873357278
"ZEB",-0.734608527106797,-0.70361948528889,-0.70361948528889,-0.327245476412954,-0.176394955226765,0.171879480848277,0.376047624386541,0.634741358837619,0.661686571165532
