"","OVOL2","GRHL2","Ecad","miR34","miR200","KEAP1","SNAIL","NRF2","ZEB"
"GRHL2",0.630181456952666,0.595215765323544,0.595215765323544,0.568204269323645,0.227733849847689,-0.218761024689596,-0.284258908078718,-0.294985185829666,-0.619002270862316
"miR200",0.618759675101804,0.584178652744176,0.584178652744176,0.528093218418672,0.211329660377417,-0.303794659590882,-0.178806444118013,-0.194824760382437,-0.607322595648987
"Ecad",0.523317305570363,0.489809840289357,0.489809840289357,0.453892316148154,0.218612404806439,-0.213481769907292,-0.250653629011838,-0.332541901400839,-0.508093184258725
"OVOL2",0.479920977685187,0.330483036492356,0.330483036492356,0.326680057183493,-0.0632891307306943,0.0674505218001634,-0.21143710071915,-0.22544456393625,-0.342085520964405
"SNAIL",0.202659342719044,0.169802539945361,0.169802539945361,0.0438005828593568,-0.0127948440728139,0.0167840929057464,-0.102860167039236,-0.104911436521334,-0.173088807594993
"NRF2",0.195123528528996,0.161499747072873,0.161499747072873,0.0360377585956549,-0.0167840929057464,0.0146162457282405,-0.00140680172245855,-0.106746298906655,-0.169802539945361
"KEAP1",-0.189150305048049,-0.158813638093594,-0.158813638093594,-0.034233558654809,0.0146162457282405,-0.0241214540615738,-0.004530831767503,-0.006513774353418,0.161499747072873
"miR34",-0.195123528528996,-0.161499747072873,-0.161499747072873,-0.0360377585956549,0.0167840929057464,-0.0146162457282405,0.00140680172245855,0.106746298906655,0.169802539945361
"ZEB",-0.657067676415482,-0.619002270862316,-0.619002270862316,-0.589751230649612,-0.2341998287642,0.227733849847689,0.295818169007064,0.310764543892322,0.539177418477257
