"","OVOL2","NRF2","ZEB","miR34","miR200","GRHL2","Ecad","KEAP1","SNAIL"
"SNAIL",0.136071656739574,-0.030672413688747,-0.0989440199228207,-0.170365396260836,-0.18265239823712,0.10177212604969,-0.10177212604969,0.185665554270506,0.336904925518716
"KEAP1",0.136089762548911,-0.130322739220289,-0.0975133114408183,-0.167992309747883,-0.180235204410021,0.103039021341049,-0.103039021341049,0.185703954410021,0.434677420138734
"OVOL2",0.251334300367438,-0.0272008761896892,-0.08524413417254,0.0997935895789492,-0.153475957489733,0.0882006559116705,-0.0882006559116705,0.15689454447378,-0.112482411720811
"ZEB",-0.133581953727931,-0.109618461733123,-0.0740953585044815,-0.0570688382946019,-0.0327323826289305,-0.0218643044690473,0.0218643044690473,0.0372929553782399,0.20149438356274
"Ecad",0.151524499741565,-0.000165492734310553,-0.0357166018972324,0.0308375126264979,0.0131069258778855,0.0414919688404359,-0.0414919688404359,-0.00643303932041969,0.104299383217294
"GRHL2",0.136335361745208,0.107869470766373,-0.0218643044690473,0.0620256509940027,0.0372929553782399,0.0277051906724713,-0.0277051906724713,-0.0303026973026973,-0.198948191584371
"miR200",0.129245988395215,0.210565074184108,-0.0167925169842265,0.0746335836577314,0.0507916098701925,0.0228635152231735,-0.0228635152231735,-0.143413915989431,-0.234598431084365
"NRF2",-0.133927043702361,0.0292238381213882,0.10177212604969,0.173700680052527,0.185665554270506,-0.0975133114408183,0.0975133114408183,-0.180235204410021,-0.434463836200246
"miR34",-0.133927043702361,0.0292238381213882,0.10177212604969,0.173700680052527,0.185665554270506,-0.0975133114408183,0.0975133114408183,-0.180235204410021,-0.434463836200246
