"","OVOL2","NRF2","ZEB","GRHL2","miR200","miR34","KEAP1","Ecad","SNAIL"
"OVOL2",0.253375162128623,-0.0278433092684406,-0.08659735360661,0.0905476641656162,-0.157554852633793,0.0829130195814229,0.162155173390103,-0.0905476641656162,-0.0733618029325107
"ZEB",-0.139058335421168,-0.108073712401244,-0.0675836841250177,-0.0268500715971344,-0.016292907901471,-0.0107031867209118,0.02283780896692,0.0268500715971344,0.0834227998461816
"SNAIL",0.0700586343014548,-0.0138270915207081,-0.0336973652762207,0.0400658104426166,-0.0388725838161648,0.0714350225137924,0.0463418156735704,-0.0400658104426166,-0.0866600387749271
"KEAP1",0.0715074307845628,-0.114659553763117,-0.0314091694720618,0.0432280489808876,-0.0361894224561417,0.0733742315553351,0.0499915057894751,-0.0432280489808876,0.0151227587461129
"GRHL2",0.142540586737135,0.106094085263055,-0.0268500715971344,0.0344230826746773,0.02283780896692,0.0152086726753123,-0.0140017125731411,-0.0344230826746773,-0.0790739940778175
"Ecad",0.14486728973027,0.00164453174847235,-0.0263650022845654,0.0348206500190899,0.0307549928945319,0.104097950318135,-0.0208863046584415,-0.0348206500190899,0.0150389461956626
"miR200",0.139532482496945,0.207618173693845,-0.025499726501995,0.0337581378468833,0.0263399940601385,0.00198001201094155,-0.116697080736244,-0.0337581378468833,-0.0605922240677769
"NRF2",-0.0660491403623177,0.0115093706129341,0.0400658104426166,-0.0314091694720618,0.0463418156735704,-0.0663053170330044,-0.0361894224561417,0.0314091694720618,-0.0083307895022
"miR34",-0.0660491403623177,0.0115093706129341,0.0400658104426166,-0.0314091694720618,0.0463418156735704,-0.0663053170330044,-0.0361894224561417,0.0314091694720618,-0.0083307895022
