"","miR200","SNAIL","ZEB","GRHL2","Ecad","NRF2","miR34","KEAP1","OVOL2"
"OVOL2",-0.115128950104174,0.112824203517081,-0.0923697016180428,0.0928616270838813,0.0928616270838813,-0.101592939808131,-0.10362318379721,0.115221800614852,0.10525093468718
"ZEB",-0.131870446812069,-0.0848366163517409,-0.0599210699258437,-0.0399727800044953,-0.0399727800044953,0.0193808119199284,0.0474264675611055,0.131639317661609,0.148942886491731
"SNAIL",-0.037818352338867,-0.0299259949747731,-0.0432231653457926,0.0475756998120344,0.0475756998120344,-0.0388443555636034,-0.106079684363103,0.0397422453930473,-0.0789499800212271
"KEAP1",-0.0362865682091022,0.0690755400448858,-0.0403344512337455,0.0520765847717348,0.0520765847717348,-0.133043650554786,-0.10971072133026,0.0424063598757689,-0.080937489806352
"GRHL2",0.131639317661609,0.0837099827329937,-0.0399727800044953,0.0404360227033876,0.0404360227033876,-0.018708123086563,-0.0482590875906752,-0.131758955330384,-0.14907785747297
"Ecad",0.103787133615199,0.12409611297671,-0.0385158270837172,0.0413237402936725,0.0413237402936725,-0.12300082074154,-0.13799328707532,-0.102609388928587,-0.152109493260777
"miR200",0.134437319733547,0.00168539551479223,-0.0366993927338643,0.0385994761521607,0.0385994761521607,0.0851991388596585,-0.0274398451347912,-0.233729438657568,-0.145143847001912
"NRF2",0.0397422453930473,-0.0733899356023399,0.0475756998120344,-0.0403344512337455,-0.0403344512337455,0.0485015260126619,0.0995066396976067,-0.0362865682091022,0.0757881592193283
"miR34",0.0397422453930473,-0.0733899356023399,0.0475756998120344,-0.0403344512337455,-0.0403344512337455,0.0485015260126619,0.0995066396976067,-0.0362865682091022,0.0757881592193283
