"","ZEB","SNAIL","OVOL2","GRHL2","Ecad","miR200","KEAP1","miR34","NRF2"
"SNAIL",-0.0837348258307603,-0.0171884745614723,0.0705905490012782,0.0841138503632273,0.0841138503632273,-0.0459441018406202,0.0474153141761698,-0.126701131625542,-0.0672924157946914
"KEAP1",-0.0834440664633157,0.084314105172061,0.071246557218557,0.0845185100550272,0.0845185100550272,-0.0449040456636135,0.0490707123302802,-0.126332292508243,-0.165630781115191
"ZEB",-0.0795643427888873,-0.0779458063579867,-0.0310172687479452,-0.0203825821762822,-0.0203825821762822,-0.0174170663080082,0.017625646273057,0.029473161205639,0.0358494945292802
"OVOL2",-0.0787448222653507,0.100888314223685,-0.0382625630453617,0.078878983756034,0.078878983756034,-0.0460331234829294,0.0465817855914801,-0.0875781241904392,-0.0638450760541905
"GRHL2",-0.0203825821762822,0.0782387310988609,0.0311657368273082,0.0204631461239157,0.0204631461239157,0.017625646273057,-0.0172667332667333,-0.0294186907364148,-0.0354843205911676
"Ecad",0.00363290616075815,0.0469066085857131,-0.0199419951804805,-0.00347336563746524,-0.00347336563746524,-0.0707971379239483,0.0713792416196299,0.0157877858574647,-0.0880676062309415
"miR200",0.0271522065763327,-0.0726567981344572,-0.0348777425143883,-0.0270687882799197,-0.0270687882799197,-0.00883729975857961,-0.0909267398827606,0.0418636660821802,0.14334130482131
"NRF2",0.0841138503632273,-0.0804268774915826,-0.0695987714307094,-0.0834440664633157,-0.0834440664633157,0.0474153141761698,-0.0449040456636135,0.127071718713508,0.0695135649979748
"miR34",0.0841138503632273,-0.0804268774915826,-0.0695987714307094,-0.0834440664633157,-0.0834440664633157,0.0474153141761698,-0.0449040456636135,0.127071718713508,0.0695135649979748
