"","GRHL2","Ecad","NRF2","miR34","miR200","OVOL2","SNAIL","KEAP1","ZEB"
"GRHL2",0.526440440593967,0.526440440593967,0.4605190860964,0.412514112443201,0.278499084893425,0.267650590187875,-0.252162771043355,-0.264843299557585,-0.538565314712799
"miR200",0.499869728403397,0.499869728403397,0.541397484432671,0.373962755106925,0.265029382834623,0.25645920433301,-0.203914845795393,-0.351831333440255,-0.510148716261401
"Ecad",0.441208482713871,0.441208482713871,0.495225359449232,0.25952318547945,0.254623943986489,0.226936651148531,-0.207881909337133,-0.245865313960768,-0.450956408687068
"OVOL2",0.155262465683649,0.155262465683649,0.0724737256241644,0.129729162053179,0.00444391593124528,0.00097975189361689,-0.105315994640829,0.00378601569701504,-0.154571782453835
"SNAIL",0.133888841361391,0.133888841361391,0.0604224749503409,0.125806949052594,0.00705232226774658,0.0976219145126879,-0.115719878478351,-0.00188893282086583,-0.133926327304163
"KEAP1",0.128652599456307,0.128652599456307,-0.0468419811793977,0.122423864320495,0.00538753767169219,0.0962022758903253,-0.0117536123842873,0.00450829566164114,-0.127961885718778
"NRF2",-0.127961885718778,-0.127961885718778,-0.0571873228499064,-0.122335133175863,-0.00188893282086583,-0.0923917712559277,0.0165806093941122,0.00538753767169219,0.133888841361391
"miR34",-0.127961885718778,-0.127961885718778,-0.0571873228499064,-0.122335133175863,-0.00188893282086583,-0.0923917712559277,0.0165806093941122,0.00538753767169219,0.133888841361391
"ZEB",-0.538565314712799,-0.538565314712799,-0.476836595225749,-0.420427893471915,-0.282653772305342,-0.271362292171949,0.260815317235334,0.278499084893425,0.451641676419161
