"","ZEB","KEAP1","GRHL2","Ecad","miR34","miR200","SNAIL","OVOL2","NRF2"
"ZEB",-0.0802727735221128,-0.0236997134271837,-0.0198267421681944,-0.0198267421681944,-0.0141428012635817,0.0240886868755179,0.0257407346659056,0.0309255611093962,0.0951807921103054
"OVOL2",-0.0386857159452242,0.0730117230686177,0.0380149084918081,0.0380149084918081,0.0354629837775461,-0.0727162896255519,-0.0435436062137907,-0.0736335657188749,-0.0560810589391607
"KEAP1",-0.0330651926890478,0.0668904615012399,0.032374478951519,0.032374478951519,0.0687432011038361,-0.0681925448345733,0.0164495355813875,-0.0396194287343545,-0.147777794498284
"SNAIL",-0.0326969033153607,0.0678276596660822,0.0321679350118078,0.0321679350118078,0.0679510242590477,-0.0673466864025371,-0.0831229107825833,-0.0391557401794172,-0.0487684857642051
"GRHL2",-0.0198267421681944,0.0245371771086057,0.0194239224300273,0.0194239224300273,0.014010515838323,-0.0236997134271837,-0.0265969762161535,-0.0303046945956967,-0.0955844054103246
"Ecad",-0.0197707307031569,0.0788333238171166,0.0193080631856075,0.0193080631856075,0.101529981886455,-0.0784407422549127,0.0453743217922322,-0.0296540808741724,-0.208592838977762
"miR200",-0.0165392540447525,-0.0867255604465835,0.0161777747602961,0.0161777747602961,0.000877538775897187,-0.012503635715128,-0.0244905659101537,-0.0294128584243835,0.0105844732400791
"NRF2",0.0321679350118078,-0.0681925448345733,-0.0330651926890478,-0.0330651926890478,-0.0685361617663619,0.0678276596660822,-0.0169194202460607,0.0398254019578355,0.0478510545715446
"miR34",0.0321679350118078,-0.0681925448345733,-0.0330651926890478,-0.0330651926890478,-0.0685361617663619,0.0678276596660822,-0.0169194202460607,0.0398254019578355,0.0478510545715446
