"","ZEB","miR200","OVOL2","GRHL2","Ecad","miR34","NRF2","KEAP1","SNAIL"
"ZEB",-0.0885700580422569,-0.0259406930259676,-0.025637217386887,-0.00999691601731982,-0.00999691601731982,-0.00563813434867579,0.0274229901182611,0.029035568723583,0.0326882162580476
"SNAIL",-0.0302379578161249,-0.0388791190335875,0.0401031401300894,0.0319914669168788,0.0319914669168788,0.0670829531544661,-0.0321959595273596,0.0430098305910921,-0.0820080572496135
"KEAP1",-0.0294513430700445,-0.0368926380605061,0.0422677795542933,0.0337491174368903,0.0337491174368903,0.0681817863580861,-0.128536387166677,0.0460072213938395,0.0199440643860025
"Ecad",-0.0112037176149626,0.0354355719443745,0.0284660043851888,0.0137563659876492,0.0137563659876492,0.0956599004730888,-0.125486056807587,-0.0298717435972783,0.0440024168382377
"miR200",-0.00748455764748787,0.0316888470536235,0.0278920743515371,0.00999637523947972,0.00999637523947972,-0.00572014661312524,0.0799708998804647,-0.126324681566759,-0.0256899177085727
"GRHL2",0.00999691601731982,-0.029035568723583,-0.0283501341097916,-0.0120915786557891,-0.0120915786557891,-0.00611280558048654,0.0230216831799563,0.0244038818324533,0.0295561747979304
"NRF2",0.0319914669168788,0.0430098305910921,-0.0365005292968267,-0.0294513430700445,-0.0294513430700445,-0.0666733568993461,0.0382799769102664,-0.0368926380605061,-0.0131520951420896
"miR34",0.0319914669168788,0.0430098305910921,-0.0365005292968267,-0.0294513430700445,-0.0294513430700445,-0.0666733568993461,0.0382799769102664,-0.0368926380605061,-0.0131520951420896
"OVOL2",0.073445919473754,-0.0928269153193176,-0.0892358786419733,-0.0742359815855552,-0.0742359815855552,-0.0676461154990613,-0.0136825540230967,0.0911134013495362,0.0759733603498382
