"","miR34","GRHL2","Ecad","OVOL2","ZEB","miR200","KEAP1","NRF2","SNAIL"
"NRF2",0.299833355180665,0.109159462867441,0.109159462867441,0.0779336709814242,-0.131262331564522,-0.18336080146089,0.163463827861405,-0.15318692122701,-0.499149538983278
"miR34",0.299833355180665,0.109159462867441,0.109159462867441,0.0779336709814242,-0.131262331564522,-0.18336080146089,0.163463827861405,-0.15318692122701,-0.499149538983278
"miR200",0.119482738564263,0.0963395574467475,0.0963395574467475,0.0838258405838793,-0.0597003879222318,0.0252488876799296,-0.0925133205885343,0.0394273166779132,-0.175360861778795
"GRHL2",0.0970605558721795,0.0861228507178998,0.0861228507178998,0.0802779597092745,-0.0438066372234385,0.0489682365879841,-0.0111114599686028,-0.0411619638646792,-0.115701414088185
"OVOL2",0.074372652930293,0.0751323978810375,0.0751323978810375,-0.0239411806223385,-0.0300094165145779,-0.0332232157458881,0.0736300698017672,-0.0256216891759745,-0.0475727901399162
"Ecad",0.024179861398795,0.0489088552807885,0.0489088552807885,0.0555842802619772,-0.0203511016113564,0.12055091585597,-0.0949518905412275,-0.103099892682988,0.170052942552943
"ZEB",-0.0587989419899914,-0.0438066372234385,-0.0438066372234385,-0.0349951955035787,-0.0184636473914357,-0.0151726449537319,0.0489682365879841,0.0875774933668895,0.138707272583002
"KEAP1",-0.320626020072709,-0.133027459797602,-0.133027459797602,-0.103886297140024,0.109159462867441,0.163463827861405,-0.184557577861405,0.0251283131684022,0.484070512926037
"SNAIL",-0.32033267252024,-0.131262331564522,-0.131262331564522,-0.101304019375084,0.112206977322363,0.166356981967326,-0.18336080146089,0.130347713114987,0.388806657651261
