"","SNAIL","GRHL2","Ecad","OVOL2","ZEB","miR200","KEAP1","miR34","NRF2"
"miR200",0.0875338970133614,0.0883050622208235,0.0883050622208235,0.0783922882528352,-0.0568934392715233,0.0343007500494103,-0.10669338808622,-0.0942970863145123,-0.234071525742076
"GRHL2",0.097603818451195,0.0841699909874617,0.0841699909874617,0.0788451757562405,-0.0442102729612784,0.0493907247866034,-0.0141659768802626,-0.0932777935595184,-0.132400731631494
"Ecad",0.128381705023496,0.0839537315791925,0.0839537315791925,0.0801893161447382,-0.0399684093073354,0.0535758658252425,-0.0146832165765624,-0.179140129844692,-0.221382318424009
"OVOL2",0.0505784047183264,0.0740987168809787,0.0740987168809787,-0.0250402224538153,-0.0319968535269414,-0.0357437566752589,0.0727911104357046,-0.0758093102661817,0.0127067761879973
"SNAIL",-0.051412728370433,0.0758845586134167,0.0758845586134167,0.0768809549369331,-0.0303474683555967,-0.0339629394009775,0.0742090845417329,-0.129521168699804,0.0154455812225264
"ZEB",-0.126287910384498,-0.0442102729612784,-0.0442102729612784,-0.0357354443484932,-0.0208597197409043,-0.0186956461463193,0.0493907247866034,0.055062868650951,0.146450318408354
"KEAP1",-0.0454214917365705,-0.0831303364939147,-0.0831303364939147,-0.0844323519956731,0.0238057010372761,0.0280403788108894,-0.0809049621442228,0.135508106686131,0.0822753265514958
"NRF2",-0.0834821495751011,-0.0238057010372761,-0.0238057010372761,-0.0210955857752818,0.0758845586134167,0.0742090845417329,-0.0280403788108894,0.0806426822554896,0.00227532655149582
"miR34",-0.0834821495751011,-0.0238057010372761,-0.0238057010372761,-0.0210955857752818,0.0758845586134167,0.0742090845417329,-0.0280403788108894,0.0806426822554896,0.00227532655149582
