"","miR200","GRHL2","Ecad","miR34","ZEB","OVOL2","NRF2","SNAIL","KEAP1"
"SNAIL",0.14057687155721,0.123318163073491,0.123318163073491,0.00537664730571243,-0.100580856230224,-0.0981342755106891,0.0156370620417233,-0.0588390088417155,-0.140025166931379
"KEAP1",0.140432979766751,0.126097176091016,0.126097176091016,0.00840556895145624,-0.0977779128523358,-0.10124314947863,-0.0822753265514958,0.0449013350516312,-0.139781938100084
"Ecad",0.16745811623618,0.0934593629709088,0.0934593629709088,0.091602753853651,-0.0521224133857142,-0.0836111584760518,-0.11269507394693,0.0651389638329937,-0.166361595321059
"GRHL2",0.131916122271654,0.0852400289724533,0.0852400289724533,0.0856603983266342,-0.0404867560620807,-0.0803205290169552,-0.0223402327379804,-0.0284652625962893,-0.130702654488369
"miR200",0.114336613422299,0.0795029487068149,0.0795029487068149,0.0801726597680083,-0.0357454178883887,-0.0773452840972366,0.0732482606487411,-0.0262767860872269,-0.213251195772464
"ZEB",-0.130963419188053,-0.0404867560620807,-0.0404867560620807,-0.0380609897203001,-0.0194349582615443,0.0327702523264436,0.0543794408871251,0.0797496249216611,0.131916122271654
"OVOL2",-0.129713002520051,-0.117774527831905,-0.117774527831905,-0.124332466971609,0.096472664477868,-0.0132523023416475,-0.0129352497854316,0.0789227004966931,0.129079930856338
"NRF2",-0.140025166931379,-0.0977779128523358,-0.0977779128523358,0.0218517513679759,0.123318163073491,0.0710680722386708,0.00242184669801596,-0.0119666917368085,0.140432979766751
"miR34",-0.140025166931379,-0.0977779128523358,-0.0977779128523358,0.0218517513679759,0.123318163073491,0.0710680722386708,0.00242184669801596,-0.0119666917368085,0.140432979766751
