"","OVOL2","GRHL2","Ecad","miR34","NRF2","miR200","KEAP1","SNAIL","ZEB"
"GRHL2",0.627632697663852,0.592559353272975,0.592559353272975,0.57191759814087,0.478830568548283,0.231123915040449,-0.22054452690167,-0.30876705958764,-0.614915848741253
"miR200",0.594757887916545,0.558804138867821,0.558804138867821,0.534136849910347,0.557736728037769,0.224022967476624,-0.313184521668853,-0.260742218493986,-0.577906928746401
"Ecad",0.520862887156299,0.487119742768884,0.487119742768884,0.456486371583712,0.507786052135567,0.221088438494465,-0.215659983099853,-0.272124276825769,-0.504748970592751
"OVOL2",0.483585309902595,0.334527249149952,0.334527249149952,0.325623161079504,0.147821714999759,-0.0647206051068428,0.0702494309699305,-0.186397180216445,-0.345672590764859
"SNAIL",0.204852457371852,0.172541173374555,0.172541173374555,0.0450342175337472,0.0747247276567274,-0.0122203635718505,0.0194632550699408,-0.0944353185520049,-0.174144738704223
"KEAP1",0.191220450351617,0.161630462602895,0.161630462602895,0.0359852502988516,-0.0373000060193824,-0.01351777320688,0.0277104815402134,0.0164362877553244,-0.162014192457077
"NRF2",-0.196163807715159,-0.162014192457077,-0.162014192457077,-0.0331754307188457,-0.0692201405007641,0.0194632550699408,-0.01351777320688,-7.57580671569641e-05,0.172541173374555
"miR34",-0.196163807715159,-0.162014192457077,-0.162014192457077,-0.0331754307188457,-0.0692201405007641,0.0194632550699408,-0.01351777320688,-7.57580671569641e-05,0.172541173374555
"ZEB",-0.653506634767374,-0.614915848741253,-0.614915848741253,-0.591954949319766,-0.500721785154088,-0.236541356835365,0.231123915040449,0.323796352061728,0.535157340149732
