"","ZEB","miR200","GRHL2","miR34","NRF2","Ecad","OVOL2","SNAIL","KEAP1"
"ZEB",-0.103522285755493,-0.0811540620690941,-0.00378102655029135,-0.000108347715397538,0.003495635414043,0.00378102655029135,0.0180219907505347,0.0346137035994102,0.0818474495204725
"SNAIL",-0.0688625222170282,-0.0274405976768317,-0.0693081884255334,-0.0423152932223466,-0.0514819092494414,0.0693081884255334,-0.0623728174611891,-0.05017707821717,0.0287703472878092
"KEAP1",-0.0688406034388027,-0.0270317767791163,-0.0693010792638219,-0.0412356184694984,-0.149537209815606,0.0693010792638219,-0.0628190549491713,0.053171744346745,0.0298963601124497
"OVOL2",-0.0637570634923549,-0.0255766469261585,-0.0640701069706157,0.0664217834292854,-0.0474760671405387,0.0640701069706157,-0.0841799514550897,-0.0565901284841426,0.0262434824119355
"Ecad",-0.00678120916426933,0.0662467829084057,-0.0072279226294895,0.0150658338032883,-0.115312775047784,0.0072279226294895,-0.0221418541624336,0.0629978791545956,-0.0650419636312972
"miR200",0.000600219040087193,-0.0789568430265631,0.000887548727732016,0.00550658917882897,0.107810615367895,-0.000887548727732016,0.0207525127892201,-0.031213765482759,-0.021247655950942
"GRHL2",0.00378102655029135,0.0818474495204725,0.00333792483830746,0.00108103466582941,-0.0035148550949963,-0.00333792483830746,-0.0183324240073845,-0.0332166779121637,-0.0810783502212074
"NRF2",0.0693081884255334,0.0287703472878092,0.0688406034388027,0.0445778249172949,0.0528339131123095,-0.0688406034388027,0.0616862022200261,-0.0448419707457198,-0.0270317767791163
"miR34",0.0693081884255334,0.0287703472878092,0.0688406034388027,0.0445778249172949,0.0528339131123095,-0.0688406034388027,0.0616862022200261,-0.0448419707457198,-0.0270317767791163
