"","KEAP1","NRF2","miR34","miR200","ZEB","GRHL2","OVOL2","Ecad","SNAIL"
"miR200",0.110809703272814,-0.0745097197762679,0.0702856041336224,0.0706964423006575,-0.0275928346251482,0.0899989890416835,0.0865067874937252,-0.0899989890416835,-0.00624422083486323
"ZEB",-0.0903292717854209,-0.0851905635472883,-0.0263418147817545,-0.0213907746886285,-0.0167193504895348,-0.011436955488041,-0.0113184450091178,0.011436955488041,0.108825590125449
"OVOL2",-0.0834155271277627,0.00823093648482792,0.0871742276207924,-0.0117602557510429,-0.011995969826377,0.0866742306959422,-0.0115693023731051,-0.0866742306959422,-0.0711971161790252
"GRHL2",0.0179142999857286,0.00717787855785911,0.090640312953103,0.0903292717854209,-0.011436955488041,0.0868649514598436,0.0886298230628362,-0.0868649514598436,-0.0836340624102625
"SNAIL",-0.0846588508810078,0.00745960751346398,-0.0127808755204341,-0.0111689654658147,-0.0111958771027528,0.0877213467183136,0.0893719498181525,-0.0877213467183136,-0.0532887007306579
"KEAP1",-0.0884859529951954,-0.0964967194365858,-0.00917964058781143,-0.00749636966186203,-0.00743574075344571,0.0916260707611203,0.0932698931151925,-0.0916260707611203,0.048784754182276
"Ecad",-0.0821819239168191,-0.100578117231458,-0.152093613786337,-0.122699048595308,0.0155381861855066,-0.0577845167534708,-0.0629115980857672,0.0577845167534708,0.117451183010885
"NRF2",0.00749636966186203,-0.0904629875231212,0.0814955234627005,0.0846588508810078,0.0877213467183136,-0.00743574075344571,-0.00717308570015641,0.00743574075344571,-0.0191820203078633
"miR34",0.00749636966186203,-0.0904629875231212,0.0814955234627005,0.0846588508810078,0.0877213467183136,-0.00743574075344571,-0.00717308570015641,0.00743574075344571,-0.0191820203078633
