"","SNAIL","ZEB","OVOL2","GRHL2","miR200","Ecad","KEAP1","miR34","NRF2"
"ZEB",-0.0872282469125075,-0.0678918152273802,-0.0325295983420307,-0.0250425707608106,-0.0178271922372524,0.0250425707608106,0.0262211265063769,0.0355851575631089,0.0493828335828215
"OVOL2",0.0788554876165082,-0.0371845661025091,-0.0452556737446936,0.0496715226242482,-0.0526316008684214,-0.0496715226242482,0.0674623597103223,-0.0538928366100765,-0.0385643434834783
"SNAIL",-0.0306506873628201,-0.0359055711597325,0.0556511400158954,0.0511373592392027,-0.0503314027719643,-0.0511373592392027,0.0684527777896472,-0.109295284534821,-0.03646734500309
"KEAP1",0.0685604112626903,-0.0314103277719968,0.0621757526113754,0.0568899900897252,-0.0449498801721327,-0.0568899900897252,0.0752884218387993,-0.113765814701247,-0.128657276430105
"GRHL2",0.0839610094181407,-0.0250425707608106,0.0434352536261446,0.0342872837517472,0.0262211265063769,-0.0342872837517472,-0.0152657342657343,-0.0437168204687194,-0.0364479883012532
"miR200",0.00183207236735144,-0.0226911148740945,0.0441808552314951,0.0338042856962282,0.0314380926482766,-0.0338042856962282,-0.118240043253908,-0.0242885036407766,0.0675239645506259
"Ecad",-0.0389595589968724,-0.0195110935592868,0.0318797230641393,0.0215372582051068,0.0786049302686498,-0.0215372582051068,-0.0762359036001782,-0.0316397736996336,0.0806254650229522
"NRF2",-0.0746689119034421,0.0511373592392027,-0.0327215816535999,-0.0314103277719968,0.0684527777896472,0.0314103277719968,-0.0449498801721327,0.0926773793270975,0.06374885152168
"miR34",-0.0746689119034421,0.0511373592392027,-0.0327215816535999,-0.0314103277719968,0.0684527777896472,0.0314103277719968,-0.0449498801721327,0.0926773793270975,0.06374885152168
