"","SNAIL","miR200","GRHL2","Ecad","ZEB","miR34","NRF2","OVOL2","KEAP1"
"KEAP1",0.217294097819126,-0.100241212239553,0.082887296391259,0.082887296391259,-0.084038485953807,-0.112753077677854,-0.191243704729228,-0.0696772690866585,0.0991995455728858
"SNAIL",0.117463807692755,-0.0999026642179371,0.0832928774614527,0.0832928774614527,-0.0837635342984721,-0.112539634883483,-0.0909623379389285,-0.0697297794256955,0.0997046164035362
"miR34",0.217336814606823,-0.0997046164035362,0.084038485953807,0.084038485953807,-0.0832928774614527,-0.111954497376169,-0.0898517633372867,-0.0705011619805823,0.100241212239553
"Ecad",0.236150421113108,0.0722451816948715,0.058467701452086,0.058467701452086,-0.0597759337430879,0.0104431382884561,-0.15069231117889,-0.0507372045584484,-0.0729085091620436
"GRHL2",0.149445349486703,0.107209506049289,0.0540591794477908,0.0540591794477908,-0.0554086255706508,0.0182976813822851,-0.0389257119432896,-0.048341268808279,-0.107773512202084
"OVOL2",0.104592342532682,-0.0452813902499592,0.0477205443727183,0.0477205443727183,-0.0493453890932152,0.0343799403673562,-0.048602991035363,-0.0780831074533597,0.0438379868566951
"miR200",0.0124801615910387,0.117645269257944,0.047829522522736,0.047829522522736,-0.0491549465657427,0.0307869313337587,0.0690057654300013,-0.0460769788886506,-0.218321688952769
"ZEB",-0.149422816814328,-0.107339163865401,-0.0554086255706508,-0.0554086255706508,-0.0452150060886075,-0.0192548053415101,0.0370614028908199,0.0499204292887757,0.107209506049289
"NRF2",-0.217336814606823,0.0997046164035362,-0.084038485953807,-0.084038485953807,0.0832928774614527,0.111954497376169,0.0898517633372867,0.0705011619805823,-0.100241212239553
