"","GRHL2","Ecad","miR34","OVOL2","miR200","KEAP1","SNAIL","ZEB","NRF2"
"miR200",0.52967986080417,0.52967986080417,0.458467912871473,0.271193289547048,0.231002748260353,0.322335137752252,-0.0439870626745909,-0.54262823414739,-0.546229545068067
"GRHL2",0.526687154428013,0.526687154428013,0.484417049176092,0.26777481379036,0.225707302878531,0.216768659911517,-0.124950652062622,-0.538973156442112,-0.442108903037217
"Ecad",0.517642137951482,0.517642137951482,0.367331063364112,0.268433312846753,0.250136215243658,0.241594181941912,-0.00306976874141054,-0.529081193471584,-0.539327630678859
"SNAIL",0.302342709001164,0.302342709001164,0.129077662949136,0.189977056035069,0.187199166704447,0.182813822242713,-0.0812240156306017,-0.307603236303426,-0.248290039832187
"KEAP1",0.282188516811912,0.282188516811912,0.113562675312135,0.181275748025658,0.179916204728225,0.172884954728225,0.0257153316542302,-0.290400335691421,-0.32549770260238
"OVOL2",0.151431915174544,0.151431915174544,0.149102103691665,-0.00115604496929952,-0.0126589895834847,-0.0170229635853417,-0.0888634263014397,-0.1509797412615,-0.0644683631968501
"NRF2",-0.290400335691421,-0.290400335691421,-0.117082344049195,-0.182305614143063,-0.182813822242713,-0.179916204728225,-0.0135410471604241,0.302342709001164,0.240516017620695
"miR34",-0.290400335691421,-0.290400335691421,-0.117082344049195,-0.182305614143063,-0.182813822242713,-0.179916204728225,-0.0135410471604241,0.302342709001164,0.240516017620695
"ZEB",-0.538973156442112,-0.538973156442112,-0.493155668738772,-0.271594492559424,-0.229444830360351,-0.225707302878531,0.132318835929229,0.452142399459428,0.458349533442752
