"","OVOL2","NRF2","ZEB","miR34","GRHL2","miR200","Ecad","KEAP1","SNAIL"
"OVOL2",0.253548083665816,-0.0278990712941996,-0.0856641800982612,0.0962485838420733,0.0911051738870811,-0.156116930332934,-0.0911051738870811,0.162591143213832,-0.0757576633422099
"ZEB",-0.137715749196872,-0.108499843929619,-0.0671785811797248,-0.0362045761359011,-0.0248269916989324,-0.0165733602102753,0.0248269916989324,0.0261511267134604,0.0983217811426556
"SNAIL",0.0798094261244785,-0.0170836399072008,-0.0355520309798827,-0.0443983593775998,0.0515668587528012,-0.049944421137425,-0.0515668587528012,0.069098474044484,-0.0454408924232184
"KEAP1",0.0824267893511956,-0.118335640763258,-0.0311826808177576,-0.0384517804763672,0.0571228189605051,-0.0446940954224621,-0.0571228189605051,0.0756836787557954,0.0602162640973723
"GRHL2",0.142507219030858,0.106097383810457,-0.0248269916989324,0.0470753254939277,0.0350183310745618,0.0261511267134604,-0.0350183310745618,-0.0139993577850721,-0.0879792845225564
"Ecad",0.146938992168087,0.000893173201568404,-0.0245849124833692,0.0493216153660438,0.0380501326492914,0.0312565428480112,-0.0380501326492914,-0.0151877733881493,0.0332752916708141
"miR200",0.139318007646225,0.207625171178249,-0.0224757195753343,0.0495638436326924,0.0344786855592068,0.0314055711072915,-0.0344786855592068,-0.117074911991356,-0.0745007245982122
"NRF2",-0.0701713825540792,0.0122550546826716,0.0515668587528012,0.0661654746496887,-0.0311826808177576,0.069098474044484,0.0311826808177576,-0.0446940954224621,-0.0337745725125795
"miR34",-0.0701713825540792,0.0122550546826716,0.0515668587528012,0.0661654746496887,-0.0311826808177576,0.069098474044484,0.0311826808177576,-0.0446940954224621,-0.0337745725125795
