"","KEAP1","ZEB","OVOL2","GRHL2","Ecad","miR34","SNAIL","miR200","NRF2"
"ZEB",-0.104162421898242,-0.0682732608901089,-0.0209584699601031,-0.00947503075720754,-0.00947503075720754,0.0100525221511131,0.0338606252553181,0.102443046510678,0.131531583655705
"miR34",0.0796368733218675,-0.0456878828111562,0.0276655080217808,0.022523469819876,0.022523469819876,-0.0631822570708312,0.00739881973622845,-0.0779841581469372,-0.0624695651867144
"OVOL2",0.0861606134526023,-0.0274091210852072,-0.037009569972537,0.0569494937560146,0.0569494937560146,-0.048529870270017,-0.0312698602560028,-0.0882792932871596,-0.0511748890979479
"SNAIL",0.0779841581469372,-0.0256912148949581,0.0529007373173644,0.0456878828111562,0.0456878828111562,-0.0762113189003612,-0.0746387137758359,-0.0793422003028292,-0.0464869480935227
"KEAP1",0.0770327066552008,-0.022523469819876,0.0571196789795563,0.0494613055834984,0.0494613055834984,-0.0785327450921267,0.0286290632219183,-0.0796368733218675,-0.143641726358876
"Ecad",0.130074667362813,-0.0107561188054014,0.0493222143779964,0.0369048105731104,0.0369048105731104,-0.112833132918684,0.0575966298727493,-0.132172948126316,-0.220597937756133
"GRHL2",0.102196945911232,-0.00947503075720754,0.0491404108428133,0.0354166218951733,0.0354166218951733,-0.0248762712756949,-0.0140318735653677,-0.104162421898242,-0.113292106431027
"miR200",-0.0075300775318859,-0.00919232228971529,0.0494771970132355,0.0355988474542347,0.0355988474542347,-0.0111374660846594,-0.0111127574867608,-0.0945306429337425,-0.00950780398189613
"NRF2",-0.0796368733218675,0.0456878828111562,-0.0276655080217808,-0.022523469819876,-0.022523469819876,0.0631822570708312,-0.00739881973622845,0.0779841581469372,0.0624695651867144
