"","KEAP1","miR200","ZEB","miR34","GRHL2","NRF2","Ecad","OVOL2","SNAIL"
"ZEB",-0.105713560446439,-0.105392234554337,-0.081656997147173,-0.02646275244596,-0.0180776276786745,-0.0113362989406075,0.0180776276786745,0.0298610408790194,0.0730184477105805
"KEAP1",-0.0426713371675621,-0.0435827955008954,-0.0373530532142486,-0.0553354330064595,0.0367390854475564,-0.0611060113565681,-0.0367390854475564,-0.0430776289575935,0.0396549889823553
"OVOL2",-0.0423264013025844,-0.0425543071015208,-0.037332972152051,0.0405857674639705,0.0369603013445975,0.0401654462430459,-0.0369603013445975,-0.0727651346802981,-0.0772572811514539
"SNAIL",-0.0430461996648791,-0.043173516116994,-0.0370392928677229,-0.0558791730302631,0.0368601933633703,0.0396915365003713,-0.0368601933633703,-0.0421943989440631,-0.0615507250495157
"miR200",0.198700472527569,0.0990937397920014,-0.0218784145975978,0.0149931593692334,0.0220915946884311,-0.0834335437887034,-0.0220915946884311,-0.0319675644969538,0.00302139124765874
"Ecad",0.0813751733244017,0.0814970089816374,-0.0191296141024544,0.0295381175651917,0.0192093843641008,-0.0810244695338927,-0.0192093843641008,-0.0298589001451787,0.0392959343332478
"GRHL2",0.105320465249037,0.105713560446439,-0.0180776276786745,0.0266884158184602,0.0183394605084832,0.0113170792596542,-0.0183394605084832,-0.0298475437808955,-0.0728381863315809
"NRF2",0.0435827955008954,0.0430461996648791,0.0368601933633703,0.056015705115303,-0.0373530532142486,-0.0389672487166919,0.0373530532142486,0.0422537360636697,-0.0373909992343843
"miR34",0.0435827955008954,0.0430461996648791,0.0368601933633703,0.056015705115303,-0.0373530532142486,-0.0389672487166919,0.0373530532142486,0.0422537360636697,-0.0373909992343843
