"","ZEB","miR200","OVOL2","GRHL2","miR34","Ecad","NRF2","KEAP1","SNAIL"
"ZEB",-0.103304519266841,-0.0194126246000532,-0.0180922668872531,-0.00359643195840911,0.000428708973610065,0.00359643195840911,0.0165222161436934,0.020421700647181,0.0325447782803709
"SNAIL",-0.06893289179387,-0.044494090720887,0.062458966462358,-0.0694118788403942,-0.0423614080547835,0.0694118788403942,-0.0575236591822325,0.0467292017691258,-0.0488340042728937
"KEAP1",-0.0688431943970731,-0.0431876692514181,0.062975549471863,-0.0695339081346018,-0.0410614197713789,0.0695339081346018,-0.155515710588094,0.0490470442514181,0.054693400622883
"OVOL2",-0.0638501529204241,-0.0445593366627108,-0.0451877575534997,-0.064163196398685,0.0663162694719625,0.064163196398685,-0.0537390247196664,0.0456651018353284,-0.0550684522536277
"Ecad",-0.0139605989782987,-0.0726832967208497,-0.00972437215050171,-0.013753196298018,-0.0869111947956205,0.013753196298018,-0.101273489629857,0.0727780577875885,0.0894631222616297
"miR200",0.000789939169838042,-0.0114180162979821,-0.0209050078884342,0.00105873145827997,0.00576539191856685,-0.00105873145827997,0.121987471904699,-0.089132557872224,-0.0339736028260174
"GRHL2",0.00359643195840911,0.020421700647181,0.0184971798309702,0.00315333024642523,0.000839674809753098,-0.00315333024642523,-0.0155804517769819,-0.0190031397174254,-0.0301112496638769
"NRF2",0.0694118788403942,0.0467292017691258,-0.0616367235192369,0.0688431943970731,0.044936013086966,-0.0688431943970731,0.0601310952034783,-0.0431876692514181,-0.0453384241171162
"miR34",0.0694118788403942,0.0467292017691258,-0.0616367235192369,0.0688431943970731,0.044936013086966,-0.0688431943970731,0.0601310952034783,-0.0431876692514181,-0.0453384241171162
