"","ZEB","NRF2","OVOL2","SNAIL","miR200","miR34","GRHL2","Ecad","KEAP1"
"ZEB",-0.0922396744846196,-0.0865754019837385,-0.024702179288353,-0.0244260309088889,-0.0190661757711166,-0.00477260587774327,0.00740870340962841,0.00740870340962841,0.0197031902589683
"OVOL2",-0.0352611063029718,-0.0181233446963799,-0.0557247720658599,0.0616491104328721,-0.0595833396153746,0.0306312713178646,-0.0364586218309221,-0.0364586218309221,0.0616513737168349
"miR34",-0.0306982427886952,-0.0170352276087243,0.0374359680120215,0.0244530575564755,-0.0434060282655917,-0.0458550646793713,-0.0295735113341267,-0.0295735113341267,0.0416245300900176
"SNAIL",-0.0300443213425708,-0.0170835134609696,0.0389024425394437,-0.0763230113019977,-0.0422884727414724,-0.0451333950870171,-0.0306982427886952,-0.0306982427886952,0.0434060282655917
"KEAP1",-0.0295735113341267,-0.116961967535464,0.0395986868585714,0.0238123057410121,-0.0416245300900176,-0.0446424057027372,-0.0311851767216939,-0.0311851767216939,0.0442286967566843
"Ecad",-0.0091228733507391,-0.0138205177017284,0.0257118387732706,0.0636565941789822,0.0266785954707667,0.017059187436197,-0.00996843812419156,-0.00996843812419156,-0.0252030302886901
"GRHL2",-0.00740870340962841,0.0865561823027852,0.0256469761570263,0.0237275180652657,0.0197031902589683,0.00506052121507111,-0.00805321499069589,-0.00805321499069589,-0.0185239046667618
"miR200",-0.00520101058459232,0.18776377775299,0.0251036404938375,-0.0328709578154441,0.0236362175908992,0.011097980173631,-0.00595177525230944,-0.00595177525230944,-0.122267647510673
"NRF2",0.0306982427886952,0.0170352276087243,-0.0374359680120215,-0.0244530575564755,0.0434060282655917,0.0458550646793713,0.0295735113341267,0.0295735113341267,-0.0416245300900176
