"","GRHL2","Ecad","SNAIL","OVOL2","miR200","KEAP1","NRF2","ZEB","miR34"
"Ecad",0.338942412838641,0.338942412838641,0.205203754830621,0.174055573126995,0.108939184529503,-0.106543083270534,-0.281100716911111,-0.339819885716752,-0.329939168940296
"miR200",0.33300248886978,0.33300248886978,0.0926564248811879,0.168842749789641,0.139969284287555,-0.238097332108854,-0.0697519846092941,-0.334068389323947,-0.319823820132225
"SNAIL",0.110378595666042,0.110378595666042,-0.00846405704427873,0.0850803878541646,-0.0360345662540667,0.0389345521077943,-0.078733563243435,-0.10946643772527,-0.148064072406878
"KEAP1",0.110191400672599,0.110191400672599,0.091783696707876,0.0861045795375919,-0.0345773939193418,0.0419992689193418,-0.174802564256907,-0.107889021547503,-0.147083253183216
"OVOL2",0.105987674212117,0.105987674212117,0.11208887531002,-0.0248449976579367,-0.0353353087545809,0.0368462397919743,-0.0763778893998509,-0.105674630733856,-0.113588972485393
"NRF2",-0.107889021547503,-0.107889021547503,-0.0893488398091148,-0.0820881016797135,0.0389345521077943,-0.0345773939193418,0.0829344323887754,0.110378595666042,0.146698751556478
"miR34",-0.107889021547503,-0.107889021547503,-0.0893488398091148,-0.0820881016797135,0.0389345521077943,-0.0345773939193418,0.0829344323887754,0.110378595666042,0.146698751556478
"ZEB",-0.349699907600967,-0.349699907600967,-0.198432999386996,-0.175378203568794,-0.137711033678271,0.137682847196508,0.183254872546749,0.251020149092375,0.358023840704719
"GRHL2",-0.347987923713757,-0.347987923713757,-0.197193702406374,-0.17487881093821,-0.137682847196508,0.136606108177537,0.18104460923712,0.349699907600967,0.356164063255494
