"","GRHL2","Ecad","SNAIL","miR34","OVOL2","miR200","KEAP1","NRF2","ZEB"
"GRHL2",0.609027599100733,0.609027599100733,0.447473627131759,0.439081083057336,0.30996384886105,0.217211661473766,-0.207008277436849,-0.304605111148602,-0.634062845827823
"Ecad",0.57743046316948,0.57743046316948,0.470755576277964,0.304055948680675,0.299254400546716,0.167600604790096,-0.158273408363942,-0.398693563559355,-0.599702320221171
"miR200",0.567320147165481,0.567320147165481,0.263078085658197,0.421523468693857,0.291142540156517,0.214967993632612,-0.305702616882573,-0.17978466643038,-0.58898109813406
"SNAIL",0.277152970395509,0.277152970395509,0.214592315320206,0.00135777277747922,0.17610146098182,-0.0576247559208928,0.0611330314902803,-0.189134722379986,-0.285612298147602
"miR34",0.265614994912127,0.265614994912127,0.306224881991576,-0.00523477647159431,0.169888016885863,-0.0611330314902803,0.0630433126664983,-0.18396813618974,-0.277152970395509
"KEAP1",0.253872861374138,0.253872861374138,0.296101003307253,-0.0115938418368709,0.165253619357542,-0.0630433126664983,0.0690328959998317,-0.273638465860069,-0.265614994912127
"OVOL2",0.178221758231518,0.178221758231518,0.187801504278332,0.133231290653561,0.0122221667540015,-0.013286050669218,0.0186291755109501,-0.109555609247576,-0.181923621585555
"NRF2",-0.265614994912127,-0.265614994912127,-0.306224881991576,0.00523477647159431,-0.169888016885863,0.0611330314902803,-0.0630433126664983,0.18396813618974,0.277152970395509
"ZEB",-0.634062845827823,-0.634062845827823,-0.467865695631083,-0.452846548779848,-0.320788521556421,-0.222211943338583,0.217211661473766,0.323728693697132,0.556944820219118
