"","KEAP1","miR34","GRHL2","Ecad","miR200","ZEB","OVOL2","SNAIL","NRF2"
"SNAIL",-0.0676325035180867,0.0948921960407348,0.0759336079083577,0.0759336079083577,-0.00248891885264605,-0.00980423975474866,0.0793539621088975,-0.0611695606860498,-0.00588502398276304
"miR200",0.103282021561661,0.0474158335091307,0.0964891851651958,0.0964891851651958,0.0917356946779106,-0.0067218295251921,0.0962988556968518,-0.00268938735254366,0.0943839991503253
"Ecad",0.00966034502957358,0.14800476752561,0.0928283422119976,0.0928283422119976,0.0950671407517883,-0.00610211374996829,0.0936429491444471,0.0650861173249233,-0.104048968355079
"GRHL2",0.00356493506493507,0.0651217084982765,0.0967383762003747,0.0967383762003747,0.0936862818432636,-0.00527815464951873,0.0968493116278816,-0.00853116903250164,-0.0039812314426228
"ZEB",-0.0936862818432636,-0.0101454420598671,-0.00527815464951873,-0.00527815464951873,-0.00522019018082487,-0.00491225203793566,-0.00455615465663043,0.0762193168468324,0.0966393133184637
"OVOL2",-0.0959765135841922,0.0754138371071642,0.0966167506068894,0.0966167506068894,-0.0050420998085528,-0.00432855184912542,-0.00299423057060443,-0.0144374187684262,-0.00292728387837304
"KEAP1",0.0688215663534591,-0.0958569893155128,-0.077276376285759,-0.077276376285759,0.00137364968679243,0.00858873238706365,-0.0807411691586048,-0.0395415499642936,0.104296083388511
"NRF2",0.00137364968679243,-0.0544786988688994,-0.00858873238706365,-0.00858873238706365,0.0676325035180867,0.0759336079083577,-0.0113281928455255,0.0110778434573211,0.0741129332053608
"miR34",0.00137364968679243,-0.0544786988688994,-0.00858873238706365,-0.00858873238706365,0.0676325035180867,0.0759336079083577,-0.0113281928455255,0.0110778434573211,0.0741129332053608
