"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-0.998398826491061,-0.957968099461124,-1,-0.998398826491061,-1,-0.998398826491061,-0.957968099461124,-0.998398826491061,-1,-0.998398826491061,-0.959568807141865,-0.957968099461124,1,0.959568807141865,0.957968099461124,0.959568807141865,0.957968099461124,0.100519815668384,0.23347260515439,1,0.0383071692139996
"FOXC2",-0.998398826491061,1,0.959569088955634,0.998398826491061,1,0.998398826491061,1,0.959569088955634,1,0.998398826491061,1,0.957967471939113,0.959569088955634,-0.998398826491061,-0.957967471939113,-0.959569088955634,-0.957967471939113,-0.959569088955634,-0.0989206786735599,-0.231870609814063,-0.998398826491061,-0.0399091394281601
"GSC",-0.957968099461124,0.959569088955634,1,0.957968099461124,0.959569088955634,0.957968099461124,0.959569088955634,1,0.959569088955634,0.957968099461124,0.959569088955634,0.998398848811059,1,-0.957968099461124,-0.998398848811059,-1,-0.998398848811059,-1,-0.139355273367304,-0.191439482702992,-0.957968099461124,-0.0523198368969836
"KLF8",-1,0.998398826491061,0.957968099461124,1,0.998398826491061,1,0.998398826491061,0.957968099461124,0.998398826491061,1,0.998398826491061,0.959568807141864,0.957968099461124,-1,-0.959568807141864,-0.957968099461124,-0.959568807141864,-0.957968099461124,-0.100519815668384,-0.23347260515439,-1,-0.0383071692139996
"SNAI1",-0.998398826491061,1,0.959569088955634,0.998398826491061,1,0.998398826491061,1,0.959569088955634,1,0.998398826491061,1,0.957967471939113,0.959569088955634,-0.998398826491061,-0.957967471939113,-0.959569088955634,-0.957967471939113,-0.959569088955634,-0.0989206786735599,-0.231870609814063,-0.998398826491061,-0.0399091394281601
"SNAI2",-1,0.998398826491061,0.957968099461124,1,0.998398826491061,1,0.998398826491061,0.957968099461124,0.998398826491061,1,0.998398826491061,0.959568807141864,0.957968099461124,-1,-0.959568807141864,-0.957968099461124,-0.959568807141864,-0.957968099461124,-0.100519815668384,-0.23347260515439,-1,-0.0383071692139996
"TCF3",-0.998398826491061,1,0.959569088955634,0.998398826491061,1,0.998398826491061,1,0.959569088955634,1,0.998398826491061,1,0.957967471939113,0.959569088955634,-0.998398826491061,-0.957967471939113,-0.959569088955634,-0.957967471939113,-0.959569088955634,-0.0989206786735599,-0.231870609814063,-0.998398826491061,-0.0399091394281601
"TGF-beta",-0.957968099461124,0.959569088955634,1,0.957968099461124,0.959569088955634,0.957968099461124,0.959569088955634,1,0.959569088955634,0.957968099461124,0.959569088955634,0.998398848811059,1,-0.957968099461124,-0.998398848811059,-1,-0.998398848811059,-1,-0.139355273367304,-0.191439482702992,-0.957968099461124,-0.0523198368969836
"TWIST1",-0.998398826491061,1,0.959569088955634,0.998398826491061,1,0.998398826491061,1,0.959569088955634,1,0.998398826491061,1,0.957967471939113,0.959569088955634,-0.998398826491061,-0.957967471939113,-0.959569088955634,-0.957967471939113,-0.959569088955634,-0.0989206786735599,-0.231870609814063,-0.998398826491061,-0.0399091394281601
"TWIST2",-1,0.998398826491061,0.957968099461124,1,0.998398826491061,1,0.998398826491061,0.957968099461124,0.998398826491061,1,0.998398826491061,0.959568807141864,0.957968099461124,-1,-0.959568807141864,-0.957968099461124,-0.959568807141864,-0.957968099461124,-0.100519815668384,-0.23347260515439,-1,-0.0383071692139996
"VIM",-0.998398826491061,1,0.959569088955634,0.998398826491061,1,0.998398826491061,1,0.959569088955634,1,0.998398826491061,1,0.957967471939113,0.959569088955634,-0.998398826491061,-0.957967471939113,-0.959569088955634,-0.957967471939113,-0.959569088955634,-0.0989206786735599,-0.231870609814063,-0.998398826491061,-0.0399091394281601
"ZEB1",-0.959568807141865,0.957967471939113,0.998398848811059,0.959568807141864,0.957967471939113,0.959568807141864,0.957967471939113,0.998398848811059,0.957967471939113,0.959568807141864,0.957967471939113,1,0.998398848811059,-0.959568807141865,-1,-0.998398848811059,-1,-0.998398848811059,-0.140954501696211,-0.193041257877567,-0.959568807141865,-0.0507179065791407
"ZEB2",-0.957968099461124,0.959569088955634,1,0.957968099461124,0.959569088955634,0.957968099461124,0.959569088955634,1,0.959569088955634,0.957968099461124,0.959569088955634,0.998398848811059,1,-0.957968099461124,-0.998398848811059,-1,-0.998398848811059,-1,-0.139355273367304,-0.191439482702992,-0.957968099461124,-0.0523198368969836
"miR-101",1,-0.998398826491061,-0.957968099461124,-1,-0.998398826491061,-1,-0.998398826491061,-0.957968099461124,-0.998398826491061,-1,-0.998398826491061,-0.959568807141865,-0.957968099461124,1,0.959568807141865,0.957968099461124,0.959568807141865,0.957968099461124,0.100519815668384,0.23347260515439,1,0.0383071692139996
"miR-141",0.959568807141865,-0.957967471939113,-0.998398848811059,-0.959568807141864,-0.957967471939113,-0.959568807141864,-0.957967471939113,-0.998398848811059,-0.957967471939113,-0.959568807141864,-0.957967471939113,-1,-0.998398848811059,0.959568807141865,1,0.998398848811059,1,0.998398848811059,0.140954501696211,0.193041257877567,0.959568807141865,0.0507179065791407
"miR-200a",0.957968099461124,-0.959569088955634,-1,-0.957968099461124,-0.959569088955634,-0.957968099461124,-0.959569088955634,-1,-0.959569088955634,-0.957968099461124,-0.959569088955634,-0.998398848811059,-1,0.957968099461124,0.998398848811059,1,0.998398848811059,1,0.139355273367304,0.191439482702992,0.957968099461124,0.0523198368969836
"miR-200b",0.959568807141865,-0.957967471939113,-0.998398848811059,-0.959568807141864,-0.957967471939113,-0.959568807141864,-0.957967471939113,-0.998398848811059,-0.957967471939113,-0.959568807141864,-0.957967471939113,-1,-0.998398848811059,0.959568807141865,1,0.998398848811059,1,0.998398848811059,0.140954501696211,0.193041257877567,0.959568807141865,0.0507179065791407
"miR-200c",0.957968099461124,-0.959569088955634,-1,-0.957968099461124,-0.959569088955634,-0.957968099461124,-0.959569088955634,-1,-0.959569088955634,-0.957968099461124,-0.959569088955634,-0.998398848811059,-1,0.957968099461124,0.998398848811059,1,0.998398848811059,1,0.139355273367304,0.191439482702992,0.957968099461124,0.0523198368969836
"miR-205",0.100519815668384,-0.0989206786735599,-0.139355273367304,-0.100519815668384,-0.0989206786735599,-0.100519815668384,-0.0989206786735599,-0.139355273367304,-0.0989206786735599,-0.100519815668384,-0.0989206786735599,-0.140954501696211,-0.139355273367304,0.100519815668384,0.140954501696211,0.139355273367304,0.140954501696211,0.139355273367304,1,-0.00310284020028231,0.100519815668384,-0.00291614313989937
