"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.901202967834171,-0.00900858198408403,-1,-1,-1,-0.901202967834171,-1,-1,-1,-0.91064059970571,-0.908633470926591,1,0.91064059970571,0.901202967834171,0.918070767582705,0.901202967834171,0.0588178949096434,0.226073309203743,0.969075666388628,0.0180789916634242
"FOXC2",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
"GSC",-0.901202967834171,0.901202967834171,1,0.00700289896337121,0.901202967834171,0.901202967834171,0.901202967834171,1,0.901202967834171,0.901202967834171,0.901202967834171,0.990562236939262,0.992570347987395,-0.901202967834171,-0.990562236939262,-1,-0.983132230178284,-1,-0.150387221086262,-0.183102515028682,-0.932127377947594,-0.0469943433835957
"KLF8",-0.00900858198408403,0.00900858198408403,0.00700289896337121,1,0.00900858198408403,0.00900858198408403,0.00900858198408403,0.00700289896337121,0.00900858198408403,0.00900858198408403,0.00900858198408403,0.00599524299981073,0.00760893601238544,-0.00900858198408403,-0.00599524299981073,-0.00700289896337121,-0.00660128167958485,-0.00700289896337121,0.00122904464768994,0.00588051568976424,-0.00780132370898461,-0.00261895948072745
"SNAI1",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
"SNAI2",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
"TCF3",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
"TGF-beta",-0.901202967834171,0.901202967834171,1,0.00700289896337121,0.901202967834171,0.901202967834171,0.901202967834171,1,0.901202967834171,0.901202967834171,0.901202967834171,0.990562236939262,0.992570347987395,-0.901202967834171,-0.990562236939262,-1,-0.983132230178284,-1,-0.150387221086262,-0.183102515028682,-0.932127377947594,-0.0469943433835957
"TWIST1",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
"TWIST2",-1,1,0.901202967834171,0.00900858198408403,1,1,1,0.901202967834171,1,1,1,0.91064059970571,0.908633470926591,-1,-0.91064059970571,-0.901202967834171,-0.918070767582705,-0.901202967834171,-0.0588178949096434,-0.226073309203743,-0.969075666388628,-0.0180789916634242
