"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.89561248417773,-1,-1,-0.986575558827255,-1,-0.89561248417773,-1,-1,-0.994990892742551,-0.911641109284371,-0.900019765921011,1,0.911641109284371,0.896814695683453,0.907633045538128,0.896413958514879,0.0691063797262182,0.221781292795323,0.981766796589943,0.0094216718851746
"FOXC2",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
"GSC",-0.89561248417773,0.89561248417773,1,0.89561248417773,0.89561248417773,0.909036511375192,0.89561248417773,1,0.89561248417773,0.89561248417773,0.900621022895841,0.983970346763755,0.995591903575799,-0.89561248417773,-0.983970346763755,-0.998797766413313,-0.987978054823768,-0.999198510942209,-0.163468439537773,-0.191113859000717,-0.91384536193482,-0.0420846046854437
"KLF8",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
"SNAI1",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
"SNAI2",-0.986575558827255,0.986575558827255,0.909036511375192,0.986575558827255,0.986575558827255,1,0.986575558827255,0.909036511375192,0.986575558827255,0.986575558827255,0.991584658145556,0.908234265060593,0.913443837689984,-0.986575558827255,-0.908234265060592,-0.907834298735285,-0.921057167058651,-0.90823503628192,-0.0761183677482607,-0.235204985507539,-0.968342285404708,-0.0168353149489073
"TCF3",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
"TGF-beta",-0.89561248417773,0.89561248417773,1,0.89561248417773,0.89561248417773,0.909036511375192,0.89561248417773,1,0.89561248417773,0.89561248417773,0.900621022895841,0.983970346763755,0.995591903575799,-0.89561248417773,-0.983970346763755,-0.998797766413313,-0.987978054823768,-0.999198510942209,-0.163468439537773,-0.191113859000717,-0.91384536193482,-0.0420846046854437
"TWIST1",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
"TWIST2",-1,1,0.89561248417773,1,1,0.986575558827255,1,0.89561248417773,1,1,0.994990892742551,0.911641109284371,0.900019765921011,-1,-0.911641109284371,-0.896814695683453,-0.907633045538128,-0.896413958514879,-0.0691063797262182,-0.221781292795322,-0.981766796589943,-0.0094216718851746
