"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.815078866388377,-1,-1,-0.999598507023315,-1,-0.815078866388377,-1,-0.992169502388955,-1,-0.812869710537633,-0.863471174077499,1,0.812869710537633,0.81628358021677,0.868690302358679,0.815082633004465,0.055188190327318,0.219944078068717,0.931533170214762,0.0115419715152445
"FOXC2",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"GSC",-0.815078866388377,0.815078866388377,1,0.815078866388377,0.815078866388377,0.814676810076689,0.815078866388377,1,0.815078866388377,0.807247567085341,0.815078866388377,0.986547477314985,0.951611617731701,-0.815078866388377,-0.986547477314985,-0.992771771521897,-0.945587749511098,-0.991166242344104,-0.167405427139136,-0.140640941768466,-0.867891166031227,-0.0482868424775659
"KLF8",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"SNAI1",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"SNAI2",-0.999598507023315,0.999598507023315,0.814676810076689,0.999598507023315,0.999598507023315,1,0.999598507023315,0.814676810076689,0.999598507023315,0.992570927289923,0.999598507023315,0.81327088003889,0.863068631461211,-0.999598507023315,-0.81327088003889,-0.81588152181668,-0.869091051897981,-0.814680093739565,-0.0555837810724801,-0.220346841642355,-0.931935835082682,-0.0111406640975784
"TCF3",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"TGF-beta",-0.815078866388377,0.815078866388377,1,0.815078866388377,0.815078866388377,0.814676810076689,0.815078866388377,1,0.815078866388377,0.807247567085341,0.815078866388377,0.986547477314985,0.951611617731701,-0.815078866388377,-0.986547477314985,-0.992771771521897,-0.945587749511098,-0.991166242344104,-0.167405427139136,-0.140640941768466,-0.867891166031227,-0.0482868424775659
"TWIST1",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"TWIST2",-0.992169502388955,0.992169502388955,0.807247567085341,0.992169502388955,0.992169502388955,0.992570927289923,0.992169502388955,0.807247567085341,0.992169502388955,1,0.992169502388955,0.820699781569521,0.855639161357562,-0.992169502388955,-0.820699781569522,-0.81447583169721,-0.861661653074676,-0.816085151606622,-0.063010611878875,-0.212918363233219,-0.939365632221561,-0.00893216514766009
"VIM",-1,1,0.815078866388377,1,1,0.999598507023315,1,0.815078866388377,1,0.992169502388955,1,0.812869710537633,0.863471174077499,-1,-0.812869710537633,-0.81628358021677,-0.868690302358679,-0.815082633004465,-0.055188190327318,-0.219944078068717,-0.931533170214762,-0.0115419715152446
"ZEB1",-0.812869710537633,0.812869710537633,0.986547477314985,0.812869710537633,0.812869710537633,0.81327088003889,0.812869710537633,0.986547477314985,0.812869710537633,0.820699781569521,0.812869710537633,1,0.938159297613336,-0.812869710537633,-1,-0.985342771985836,-0.944182376437067,-0.986548472512288,-0.169617332614654,-0.127990754487719,-0.881343046643564,-0.0400545915680339
"ZEB2",-0.863471174077499,0.863471174077499,0.951611617731701,0.863471174077499,0.863471174077499,0.863068631461211,0.863471174077499,0.951611617731701,0.863471174077499,0.855639161357562,0.863471174077499,0.938159297613336,1,-0.863471174077499,-0.938159297613336,-0.952816320292564,-0.993976575108678,-0.951611233450368,-0.144699331053597,-0.186222758655956,-0.848419930893488,-0.0701728372904154
"miR-101",1,-1,-0.815078866388377,-1,-1,-0.999598507023315,-1,-0.815078866388377,-1,-0.992169502388955,-1,-0.812869710537633,-0.863471174077499,1,0.812869710537633,0.81628358021677,0.868690302358679,0.815082633004465,0.055188190327318,0.219944078068717,0.931533170214762,0.0115419715152445
"miR-141",0.812869710537633,-0.812869710537633,-0.986547477314985,-0.812869710537633,-0.812869710537633,-0.81327088003889,-0.812869710537633,-0.986547477314985,-0.812869710537633,-0.820699781569522,-0.812869710537633,-1,-0.938159297613336,0.812869710537633,1,0.985342771985836,0.944182376437067,0.986548472512288,0.169617332614654,0.127990754487719,0.881343046643564,0.0400545915680339
"miR-200a",0.81628358021677,-0.81628358021677,-0.992771771521897,-0.81628358021677,-0.81628358021677,-0.81588152181668,-0.81628358021677,-0.992771771521897,-0.81628358021677,-0.81447583169721,-0.81628358021677,-0.985342771985836,-0.952816320292564,0.81628358021677,0.985342771985836,1,0.946792452800456,0.983938028727313,0.166200594399591,0.141845652537111,0.866686437243726,0.0478852752001094
"miR-200b",0.868690302358679,-0.868690302358679,-0.945587749511098,-0.868690302358679,-0.868690302358679,-0.869091051897981,-0.868690302358679,-0.945587749511098,-0.868690302358679,-0.861661653074676,-0.868690302358679,-0.944182376437067,-0.993976575108678,0.868690302358679,0.944182376437067,0.946792452800456,1,0.945587861382867,0.139484409785306,0.181000891995531,0.85444137950117,0.0641490956503461
"miR-200c",0.815082633004465,-0.815082633004465,-0.991166242344104,-0.815082633004465,-0.815082633004465,-0.814680093739565,-0.815082633004465,-0.991166242344104,-0.815082633004465,-0.816085151606622,-0.815082633004465,-0.986548472512288,-0.951611233450368,0.815082633004465,0.986548472512288,0.983938028727313,0.945587861382867,1,0.167387302603656,0.14064536936695,0.867897484907174,0.0494922891460704
"miR-205",0.055188190327318,-0.055188190327318,-0.167405427139136,-0.055188190327318,-0.055188190327318,-0.0555837810724801,-0.055188190327318,-0.167405427139136,-0.055188190327318,-0.063010611878875,-0.055188190327318,-0.169617332614654,-0.144699331053597,0.055188190327318,0.169617332614654,0.166200594399591,0.139484409785306,0.167387302603656,1,-0.00164906837413,0.0891582730245594,-9.0030619408721e-05
"miR-30c",0.219944078068717,-0.219944078068717,-0.140640941768466,-0.219944078068717,-0.219944078068717,-0.220346841642355,-0.219944078068717,-0.140640941768466,-0.219944078068717,-0.212918363233219,-0.219944078068717,-0.127990754487719,-0.186222758655956,0.219944078068717,0.127990754487719,0.141845652537111,0.181000891995531,0.14064536936695,-0.00164906837413,1,0.152272223076688,0.0033101951592965
"miR-34a",0.931533170214762,-0.931533170214762,-0.867891166031227,-0.931533170214762,-0.931533170214762,-0.931935835082682,-0.931533170214762,-0.867891166031227,-0.931533170214762,-0.939365632221561,-0.931533170214762,-0.881343046643564,-0.848419930893488,0.931533170214762,0.881343046643564,0.866686437243726,0.85444137950117,0.867897484907174,0.0891582730245594,0.152272223076688,1,0.0105366244875711
"miR-9",0.0115419715152445,-0.0115419715152446,-0.0482868424775659,-0.0115419715152446,-0.0115419715152446,-0.0111406640975784,-0.0115419715152446,-0.0482868424775659,-0.0115419715152446,-0.00893216514766009,-0.0115419715152446,-0.0400545915680339,-0.0701728372904154,0.0115419715152445,0.0400545915680339,0.0478852752001094,0.0641490956503461,0.0494922891460704,-9.0030619408721e-05,0.0033101951592965,0.0105366244875711,1
