"posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency","Net"
76,23.4833333333333,2,1.33333333333333,2,"FOXC2_ZEB1_1_0"
76,23.4833333333333,3,1.66666666666667,3,"FOXC2_ZEB1_1_2"
76,23.4833333333333,2,1.33333333333333,2,"GSC_FOXC2_1_0"
74,22.8166666666667,5,2.33333333333333,3,"GSC_FOXC2_1_2"
76,23.2333333333333,2,1.33333333333333,2,"GSC_SNAI1_1_0"
73,22.4833333333333,6,2.66666666666667,3,"GSC_SNAI1_1_2"
76,23.3166666666667,2,1.33333333333333,2,"GSC_TWIST1_1_0"
74,22.8166666666667,5,2.33333333333333,3,"GSC_TWIST1_1_2"
76,22.4190476190476,2,1.33333333333333,2,"GSC_ZEB1_1_0"
51,17.3333333333333,28,7.81666666666667,3,"GSC_ZEB1_1_2"
72,23.0666666666667,2,1.33333333333333,2,"GSC_ZEB2_1_0"
47,16.3166666666667,32,8.83333333333333,3,"GSC_ZEB2_1_2"
76,23.5666666666667,2,1.33333333333333,2,"KLF8_CDH1_2_0"
76,23.5666666666667,3,1.58333333333333,2,"KLF8_CDH1_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-101_KLF8_2_0"
76,23.5666666666667,3,1.58333333333333,2,"miR-101_KLF8_2_1"
76,23.4833333333333,2,1.33333333333333,2,"miR-101_SNAI1_2_0"
76,23.4833333333333,3,1.66666666666667,3,"miR-101_SNAI1_2_1"
76,23.4,2,1.33333333333333,2,"miR-101_ZEB1_2_0"
74,23.0666666666667,5,2.08333333333333,3,"miR-101_ZEB1_2_1"
69,21.7833333333333,2,1.33333333333333,2,"miR-101_ZEB2_2_0"
73,22.65,6,2.5,3,"miR-101_ZEB2_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-141_TGF-beta_2_0"
76,23.5666666666667,3,1.58333333333333,3,"miR-141_TGF-beta_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-141_ZEB1_2_0"
76,23.5666666666667,3,1.58333333333333,3,"miR-141_ZEB1_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-141_ZEB2_2_0"
74,23.0666666666667,5,2.08333333333333,3,"miR-141_ZEB2_2_1"
75,23.3166666666667,2,1.33333333333333,2,"miR-200a_TGF-beta_2_0"
75,23.3166666666667,4,1.83333333333333,3,"miR-200a_TGF-beta_2_1"
75,23.3166666666667,2,1.33333333333333,2,"miR-200a_ZEB1_2_0"
75,23.3166666666667,4,1.83333333333333,3,"miR-200a_ZEB1_2_1"
74,23.0666666666667,2,1.33333333333333,2,"miR-200a_ZEB2_2_0"
74,23.0666666666667,5,2.08333333333333,3,"miR-200a_ZEB2_2_1"
75,23.3166666666667,2,1.33333333333333,2,"miR-200b_TGF-beta_2_0"
75,23.3166666666667,4,1.83333333333333,3,"miR-200b_TGF-beta_2_1"
73,22.8166666666667,2,1.33333333333333,2,"miR-200b_ZEB1_2_0"
73,22.8166666666667,6,2.33333333333333,3,"miR-200b_ZEB1_2_1"
74,23.0666666666667,2,1.33333333333333,2,"miR-200b_ZEB2_2_0"
74,23.0666666666667,5,2.08333333333333,3,"miR-200b_ZEB2_2_1"
75,23.3166666666667,2,1.33333333333333,2,"miR-200c_TGF-beta_2_0"
75,23.3166666666667,4,1.83333333333333,3,"miR-200c_TGF-beta_2_1"
75,23.3166666666667,2,1.33333333333333,2,"miR-200c_ZEB1_2_0"
75,23.3166666666667,4,1.83333333333333,3,"miR-200c_ZEB1_2_1"
74,23.0666666666667,2,1.33333333333333,2,"miR-200c_ZEB2_2_0"
74,23.0666666666667,5,2.08333333333333,3,"miR-200c_ZEB2_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-205_ZEB1_2_0"
76,23.5666666666667,3,1.58333333333333,3,"miR-205_ZEB1_2_1"
76,23.5666666666667,2,1.33333333333333,2,"miR-205_ZEB2_2_0"
76,23.5666666666667,3,1.58333333333333,3,"miR-205_ZEB2_2_1"
76,23.4833333333333,2,1.33333333333333,2,"miR-30c_SNAI1_2_0"
76,23.4833333333333,3,1.66666666666667,3,"miR-30c_SNAI1_2_1"
