"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.896447179531653,-1,-1,-1,-1,-0.896447179531653,-1,-1,-1,-0.908462875120804,-0.902856848277985,1,0.908462875120804,0.896447179531653,0.91487251197934,0.896447179531653,0.049980772183388,0.219635543312774,0.971760028325041,0.0207214618948278
"FOXC2",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"GSC",-0.896447179531653,0.896447179531653,1,0.896447179531653,0.896447179531653,0.896447179531653,0.896447179531653,1,0.896447179531653,0.896447179531653,0.896447179531653,0.987983133277087,0.99359028779351,-0.896447179531653,-0.987983133277087,-1,-0.98157345295861,-1,-0.146337867210732,-0.179385214987427,-0.924697980225082,-0.0493450793078064
"KLF8",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"SNAI1",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"SNAI2",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"TCF3",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"TGF-beta",-0.896447179531653,0.896447179531653,1,0.896447179531653,0.896447179531653,0.896447179531653,0.896447179531653,1,0.896447179531653,0.896447179531653,0.896447179531653,0.987983133277087,0.99359028779351,-0.896447179531653,-0.987983133277087,-1,-0.98157345295861,-1,-0.146337867210732,-0.179385214987427,-0.924697980225082,-0.0493450793078064
"TWIST1",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"TWIST2",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"VIM",-1,1,0.896447179531653,1,1,1,1,0.896447179531653,1,1,1,0.908462875120804,0.902856848277985,-1,-0.908462875120804,-0.896447179531653,-0.91487251197934,-0.896447179531653,-0.049980772183388,-0.219635543312774,-0.971760028325041,-0.0207214618948278
"ZEB1",-0.908462875120804,0.908462875120804,0.987983133277087,0.908462875120804,0.908462875120804,0.908462875120804,0.908462875120804,0.987983133277087,0.908462875120804,0.908462875120804,0.908462875120804,1,0.98157345295861,-0.908462875120804,-1,-0.987983133277087,-0.993590351569377,-0.987983133277087,-0.134312399148794,-0.167360572910684,-0.936709999368462,-0.0373390771615977
"ZEB2",-0.902856848277985,0.902856848277985,0.99359028779351,0.902856848277985,0.902856848277985,0.902856848277985,0.902856848277985,0.99359028779351,0.902856848277985,0.902856848277985,0.902856848277985,0.98157345295861,1,-0.902856848277985,-0.98157345295861,-0.99359028779351,-0.987983133277087,-0.99359028779351,-0.13992814986097,-0.185794917678896,-0.918288314307487,-0.0529506277730612
"miR-101",1,-1,-0.896447179531653,-1,-1,-1,-1,-0.896447179531653,-1,-1,-1,-0.908462875120804,-0.902856848277985,1,0.908462875120804,0.896447179531653,0.91487251197934,0.896447179531653,0.049980772183388,0.219635543312774,0.971760028325041,0.0207214618948278
"miR-141",0.908462875120804,-0.908462875120804,-0.987983133277087,-0.908462875120804,-0.908462875120804,-0.908462875120804,-0.908462875120804,-0.987983133277087,-0.908462875120804,-0.908462875120804,-0.908462875120804,-1,-0.98157345295861,0.908462875120804,1,0.987983133277087,0.993590351569377,0.987983133277087,0.134312399148794,0.167360572910684,0.936709999368462,0.0373390771615977
