"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-0.856796733167078,-0.856796733167078,-1,-1,-1,-1,-0.856796733167078,-1,-1,-1,-0.865421145221557,-0.884274221584901,1,0.865421145221557,0.859203510760909,0.892898641238953,0.859604483617597,0.0505739628710465,0.227689632210227,0.956277777173507,0.0190591529846205
"FOXC2",-0.856796733167078,1,1,0.856796733167078,0.856796733167078,0.856796733167078,0.856796733167078,1,0.856796733167078,0.856796733167078,0.856796733167078,0.991375740500069,0.972522664136725,-0.856796733167078,-0.991375740500069,-0.99759322240617,-0.963898471728653,-0.997192168516043,-0.139626603768285,-0.169523499375227,-0.900520991686629,-0.0467368999207804
"GSC",-0.856796733167078,1,1,0.856796733167078,0.856796733167078,0.856796733167078,0.856796733167078,1,0.856796733167078,0.856796733167078,0.856796733167078,0.991375740500069,0.972522664136725,-0.856796733167078,-0.991375740500069,-0.99759322240617,-0.963898471728653,-0.997192168516043,-0.139626603768285,-0.169523499375227,-0.900520991686629,-0.0467368999207804
"KLF8",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
"SNAI1",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
"SNAI2",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
"TCF3",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
"TGF-beta",-0.856796733167078,1,1,0.856796733167078,0.856796733167078,0.856796733167078,0.856796733167078,1,0.856796733167078,0.856796733167078,0.856796733167078,0.991375740500069,0.972522664136725,-0.856796733167078,-0.991375740500069,-0.99759322240617,-0.963898471728653,-0.997192168516043,-0.139626603768285,-0.169523499375227,-0.900520991686629,-0.0467368999207804
"TWIST1",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
"TWIST2",-1,0.856796733167078,0.856796733167078,1,1,1,1,0.856796733167078,1,1,1,0.865421145221557,0.884274221584901,-1,-0.865421145221557,-0.859203510760909,-0.892898641238953,-0.859604483617597,-0.0505739628710465,-0.227689632210227,-0.956277777173507,-0.0190591529846205
