"","CDH1","FOXC2","GSC","KLF8","SNAI1","SNAI2","TCF3","TGF.beta","TWIST1","TWIST2","VIM","ZEB1","ZEB2","miR.101","miR.141","miR.200a","miR.200b","miR.200c","miR.205","miR.30c","miR.34a","miR.9"
"CDH1",1,-1,-0.954306698901638,-1,-1,-0.999599235169296,-1,-0.954306698901638,-1,-0.990981987761072,-1,-0.973749256387796,-0.954306698901638,1,0.973749256387796,0.94989847154663,0.982364874847937,0.950099477857785,0.0464004791331938,0.216536262103977,0.973749256387796,0.0241468065296548
"FOXC2",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"GSC",-0.954306698901638,0.954306698901638,1,0.954306698901638,0.954306698901638,0.953905025080261,0.954306698901638,1,0.954306698901638,0.945285507957524,0.954306698901638,0.962521466068216,1,-0.954306698901638,-0.962521466068216,-0.995590819608198,-0.97113944842702,-0.995791341140841,-0.0920940888996053,-0.227781745252144,-0.962521466068216,-0.0602256276872133
"KLF8",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"SNAI1",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"SNAI2",-0.999599235169296,0.999599235169296,0.953905025080261,0.999599235169296,0.999599235169296,1,0.999599235169296,0.953905025080261,0.999599235169296,0.991382360054644,0.999599235169296,0.974149005476237,0.953905025080261,-0.999599235169296,-0.974149005476237,-0.949496642266114,-0.982765015828638,-0.949697568021858,-0.046800906961157,-0.21694060635447,-0.974149005476237,-0.0237464570192911
"TCF3",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"TGF-beta",-0.954306698901638,0.954306698901638,1,0.954306698901638,0.954306698901638,0.953905025080261,0.954306698901638,1,0.954306698901638,0.945285507957524,0.954306698901638,0.962521466068216,1,-0.954306698901638,-0.962521466068216,-0.995590819608198,-0.97113944842702,-0.995791341140841,-0.0920940888996053,-0.227781745252144,-0.962521466068216,-0.0602256276872133
"TWIST1",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"TWIST2",-0.990981987761072,0.990981987761072,0.945285507957524,0.990981987761072,0.990981987761072,0.991382360054644,0.990981987761072,0.945285507957524,0.990981987761072,1,0.990981987761072,0.982765064286436,0.945285507957524,-0.990981987761072,-0.982765064286436,-0.949695267012206,-0.974145833516949,-0.949495149121658,-0.0554180137878237,-0.209533561152516,-0.982765064286436,-0.0219439179342217
"VIM",-1,1,0.954306698901638,1,1,0.999599235169296,1,0.954306698901638,1,0.990981987761072,1,0.973749256387796,0.954306698901638,-1,-0.973749256387796,-0.94989847154663,-0.982364874847937,-0.950099477857785,-0.0464004791331938,-0.216536262103977,-0.973749256387796,-0.0241468065296548
"ZEB1",-0.973749256387796,0.973749256387796,0.962521466068216,0.973749256387796,0.973749256387796,0.974149005476237,0.973749256387796,0.962521466068216,0.973749256387796,0.982765064286436,0.973749256387796,1,0.962521466068216,-0.973749256387796,-1,-0.966930572587572,-0.991382398822117,-0.966730132945787,-0.0726526906901417,-0.192311256828442,-1,-0.0295619750546086
"ZEB2",-0.954306698901638,0.954306698901638,1,0.954306698901638,0.954306698901638,0.953905025080261,0.954306698901638,1,0.954306698901638,0.945285507957524,0.954306698901638,0.962521466068216,1,-0.954306698901638,-0.962521466068216,-0.995590819608198,-0.97113944842702,-0.995791341140841,-0.0920940888996053,-0.227781745252144,-0.962521466068216,-0.0602256276872133
"miR-101",1,-1,-0.954306698901638,-1,-1,-0.999599235169296,-1,-0.954306698901638,-1,-0.990981987761072,-1,-0.973749256387796,-0.954306698901638,1,0.973749256387796,0.94989847154663,0.982364874847937,0.950099477857785,0.0464004791331938,0.216536262103977,0.973749256387796,0.0241468065296548
"miR-141",0.973749256387796,-0.973749256387796,-0.962521466068216,-0.973749256387796,-0.973749256387796,-0.974149005476237,-0.973749256387796,-0.962521466068216,-0.973749256387796,-0.982765064286436,-0.973749256387796,-1,-0.962521466068216,0.973749256387796,1,0.966930572587572,0.991382398822117,0.966730132945787,0.0726526906901417,0.192311256828442,1,0.0295619750546086
"miR-200a",0.94989847154663,-0.94989847154663,-0.995590819608198,-0.94989847154663,-0.94989847154663,-0.949496642266114,-0.94989847154663,-0.995590819608198,-0.94989847154663,-0.949695267012206,-0.94989847154663,-0.966930572587572,-0.995590819608198,0.94989847154663,0.966930572587572,1,0.966730432911955,0.991381921645735,0.0965029703236029,0.224578561784428,0.966930572587572,0.059023611404807
"miR-200b",0.982364874847937,-0.982364874847937,-0.97113944842702,-0.982364874847937,-0.982364874847937,-0.982765015828638,-0.982364874847937,-0.97113944842702,-0.982364874847937,-0.974145833516949,-0.982364874847937,-0.991382398822117,-0.97113944842702,0.982364874847937,0.991382398822117,0.966730432911955,1,0.966931036013495,0.0640355315115426,0.199717932373555,0.991382398822117,0.0313644779686143
"miR-200c",0.950099477857785,-0.950099477857785,-0.995791341140841,-0.950099477857785,-0.950099477857785,-0.949697568021858,-0.950099477857785,-0.995791341140841,-0.950099477857785,-0.949495149121658,-0.950099477857785,-0.966730132945787,-0.995791341140841,0.950099477857785,0.966730132945787,0.991381921645735,0.966931036013495,1,0.0963023647223828,0.223578272735504,0.966730132945787,0.059625133294383
