"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,7.20289311387955e-07,1,-1,1,-0.00680128092044502,-1,-1,1
"GRHL2",1,1,7.20289311387955e-07,1,-1,1,-0.00680128092044502,-1,-1,1
"Iext",7.20289311387955e-07,7.20289311387955e-07,1,7.20289311387955e-07,-7.20289311425465e-07,7.20289311387955e-07,-0.00260088451522464,-7.20289311425465e-07,-7.20289311425465e-07,7.20289311387955e-07
"KEAP1",1,1,7.20289311387955e-07,1,-1,1,-0.00680128092044502,-1,-1,1
"NRF2",-1,-1,-7.20289311425465e-07,-1,1,-1,0.00680128092044507,1,1,-1
"OVOL2",1,1,7.20289311387955e-07,1,-1,1,-0.00680128092044502,-1,-1,1
"SNAIL",-0.00680128092044502,-0.00680128092044502,-0.00260088451522464,-0.00680128092044502,0.00680128092044507,-0.00680128092044502,1,0.00680128092044507,0.00680128092044507,-0.00680128092044502
"ZEB",-1,-1,-7.20289311425465e-07,-1,1,-1,0.00680128092044507,1,1,-1
"miR200",-1,-1,-7.20289311425465e-07,-1,1,-1,0.00680128092044507,1,1,-1
"miR34",1,1,7.20289311387955e-07,1,-1,1,-0.00680128092044502,-1,-1,1
