"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.0493048827233505,-0.0493048827233505,-1,1,-0.0493048827233505,-1,0.0493048827233505,0.0493048827233505
"GRHL2",1,1,-0.0493048827233505,-0.0493048827233505,-1,1,-0.0493048827233505,-1,0.0493048827233505,0.0493048827233505
"Iext",-0.0493048827233505,-0.0493048827233505,1,1,0.0493048827233505,-0.0493048827233505,1,0.0493048827233505,-1,-1
"KEAP1",-0.0493048827233505,-0.0493048827233505,1,1,0.0493048827233505,-0.0493048827233505,1,0.0493048827233505,-1,-1
"NRF2",-1,-1,0.0493048827233505,0.0493048827233505,1,-1,0.0493048827233505,1,-0.0493048827233505,-0.0493048827233505
"OVOL2",1,1,-0.0493048827233505,-0.0493048827233505,-1,1,-0.0493048827233505,-1,0.0493048827233505,0.0493048827233505
"SNAIL",-0.0493048827233505,-0.0493048827233505,1,1,0.0493048827233505,-0.0493048827233505,1,0.0493048827233505,-1,-1
"ZEB",-1,-1,0.0493048827233505,0.0493048827233505,1,-1,0.0493048827233505,1,-0.0493048827233505,-0.0493048827233505
"miR200",0.0493048827233505,0.0493048827233505,-1,-1,-0.0493048827233505,0.0493048827233505,-1,-0.0493048827233505,1,1
"miR34",0.0493048827233505,0.0493048827233505,-1,-1,-0.0493048827233505,0.0493048827233505,-1,-0.0493048827233505,1,1
