"","Ecad","GRHL2","Iext","KEAP1","NRF2","OVOL2","SNAIL","ZEB","miR200","miR34"
"Ecad",1,1,-0.00241444845160342,-1,1,0.00441302231503121,-1,-1,1,1
"GRHL2",1,1,-0.00241444845160342,-1,1,0.00441302231503121,-1,-1,1,1
"Iext",-0.00241444845160342,-0.00241444845160342,1,0.00241444845160342,-0.00241444845160342,0.0044210624417497,0.00241444845160342,0.00241444845160342,-0.00241444845160342,-0.00241444845160342
"KEAP1",-1,-1,0.00241444845160342,1,-1,-0.00441302231503121,1,1,-1,-1
"NRF2",1,1,-0.00241444845160342,-1,1,0.00441302231503121,-1,-1,1,1
"OVOL2",0.00441302231503121,0.00441302231503121,0.0044210624417497,-0.00441302231503121,0.00441302231503121,1,-0.00441302231503121,-0.00441302231503121,0.00441302231503121,0.00441302231503121
"SNAIL",-1,-1,0.00241444845160342,1,-1,-0.00441302231503121,1,1,-1,-1
"ZEB",-1,-1,0.00241444845160342,1,-1,-0.00441302231503121,1,1,-1,-1
"miR200",1,1,-0.00241444845160342,-1,1,0.00441302231503121,-1,-1,1,1
"miR34",1,1,-0.00241444845160342,-1,1,0.00441302231503121,-1,-1,1,1
